x y ref_solution model_fnn_4_qubits
0.0 0.0 0.0 -0.002624034881591797
0.0 0.0416666679084301 0.0 -0.0013248920440673828
0.0 0.0833333358168602 0.0 0.0004076659679412842
0.0 0.125 0.0 0.0017322897911071777
0.0 0.1666666716337204 0.0 0.0023185312747955322
0.0 0.2083333432674408 0.0 0.0022029876708984375
0.0 0.25 0.0 0.0016140937805175781
0.0 0.2916666865348816 0.0 0.0008209943771362305
0.0 0.3333333432674408 0.0 3.8623809814453125e-05
0.0 0.375 0.0 -0.0006020069122314453
0.0 0.4166666865348816 0.0 -0.0010498762130737305
0.0 0.4583333432674408 0.0 -0.001303344964981079
0.0 0.5 0.0 -0.0013664960861206055
0.0 0.5416666269302368 0.0 -0.0012197494506835938
0.0 0.5833333134651184 0.0 -0.0008226633071899414
0.0 0.625 0.0 -0.00016513466835021973
0.0 0.6666666269302368 0.0 0.0006663799285888672
0.0 0.7083333134651184 0.0 0.0014628767967224121
0.0 0.75 0.0 0.0019462108612060547
0.0 0.7916666865348816 0.0 0.0018898546695709229
0.0 0.8333333134651184 0.0 0.0012429356575012207
0.0 0.875 0.0 0.00018897652626037598
0.0 0.9166666865348816 0.0 -0.0009150207042694092
0.0 0.9583333134651184 0.0 -0.0017126500606536865
0.0 1.0 0.0 -0.002127408981323242
0.040816325694322586 0.0 0.05788752183366146 0.058495670557022095
0.040816325694322586 0.0416666679084301 0.05075487278720568 0.051300048828125
0.040816325694322586 0.0833333358168602 0.0444411363495255 0.04604652523994446
0.040816325694322586 0.125 0.04008528806074438 0.04204559326171875
0.040816325694322586 0.1666666716337204 0.036704856867579294 0.03882402181625366
0.040816325694322586 0.2083333432674408 0.033859939523922654 0.03611445426940918
0.040816325694322586 0.25 0.032024050862430216 0.033804744482040405
0.040816325694322586 0.2916666865348816 0.030709860786448433 0.03187835216522217
0.040816325694322586 0.3333333432674408 0.02971781153728393 0.030360698699951172
0.040816325694322586 0.375 0.029161390810937576 0.029268085956573486
0.040816325694322586 0.4166666865348816 0.02882604723499086 0.0285760760307312
0.040816325694322586 0.4583333432674408 0.028634692889253462 0.02821934223175049
0.040816325694322586 0.5 0.028585238716539795 0.028125226497650146
0.040816325694322586 0.5416666269302368 0.028634561741520778 0.02826547622680664
0.040816325694322586 0.5833333134651184 0.028825787989181676 0.028682291507720947
0.040816325694322586 0.625 0.029161047469643448 0.029454082250595093
0.040816325694322586 0.6666666269302368 0.029717416895831204 0.030624300241470337
0.040816325694322586 0.7083333134651184 0.03070944500980861 0.0321497917175293
0.040816325694322586 0.75 0.03202364161444022 0.03392612934112549
0.040816325694322586 0.7916666865348816 0.03385955197024934 0.03589355945587158
0.040816325694322586 0.8333333134651184 0.03670450187987887 0.0381585955619812
0.040816325694322586 0.875 0.04008496203900797 0.041058629751205444
0.040816325694322586 0.9166666865348816 0.044440834384617586 0.04511114954948425
0.040816325694322586 0.9583333134651184 0.05075458827281324 0.05083224177360535
0.040816325694322586 1.0 0.0578872424689883 0.058425188064575195
0.08163265138864517 0.0 0.11405308950022335 0.1168743371963501
0.08163265138864517 0.0416666679084301 0.10007633868732077 0.10201314091682434
0.08163265138864517 0.0833333358168602 0.087715459426887 0.09045246243476868
0.08163265138864517 0.125 0.07920002975208217 0.08159029483795166
0.08163265138864517 0.1666666716337204 0.07260574298054606 0.07482889294624329
0.08163265138864517 0.2083333432674408 0.06707623844714546 0.06965342164039612
0.08163265138864517 0.25 0.0635286452326805 0.06567439436912537
0.08163265138864517 0.2916666865348816 0.06101063031582595 0.06263965368270874
0.08163265138864517 0.3333333432674408 0.05913543372941192 0.06040695309638977
0.08163265138864517 0.375 0.0581043493748383 0.058888405561447144
0.08163265138864517 0.4166666865348816 0.05749781629911194 0.05798739194869995
0.08163265138864517 0.4583333432674408 0.057160996201308135 0.057570070028305054
0.08163265138864517 0.5 0.057075628359267244 0.05748796463012695
0.08163265138864517 0.5416666269302368 0.0571607178388132 0.05765154957771301
0.08163265138864517 0.5833333134651184 0.05749726883391405 0.058088988065719604
0.08163265138864517 0.625 0.058103629381489524 0.05893954634666443
0.08163265138864517 0.6666666269302368 0.059134613290939456 0.06037724018096924
0.08163265138864517 0.7083333134651184 0.06100977521723775 0.06253072619438171
0.08163265138864517 0.75 0.06352781174994225 0.06547453999519348
0.08163265138864517 0.7916666865348816 0.06707545651086975 0.06931230425834656
0.08163265138864517 0.8333333134651184 0.07260503355104268 0.07429304718971252
0.08163265138864517 0.875 0.07919938289024626 0.08088260889053345
0.08163265138864517 0.9166666865348816 0.0877148636765308 0.0897287130355835
0.08163265138864517 0.9583333134651184 0.10007577963690109 0.10149088501930237
0.08163265138864517 1.0 0.11405254122717527 0.11652082204818726
0.12244898080825806 0.0 0.1668350552899508 0.17109650373458862
0.12244898080825806 0.0416666679084301 0.14657967267981037 0.14947828650474548
0.12244898080825806 0.0833333358168602 0.1286938364967715 0.13239401578903198
0.12244898080825806 0.125 0.1164031409974952 0.11926373839378357
0.12244898080825806 0.1666666716337204 0.10692131529356276 0.1093733012676239
0.12244898080825806 0.2083333432674408 0.09902198728717164 0.1020064651966095
0.12244898080825806 0.25 0.0940077099223079 0.09655654430389404
0.12244898080825806 0.2916666865348816 0.09050536625119249 0.0925770103931427
0.12244898080825806 0.3333333432674408 0.08796612067383945 0.08977499604225159
0.12244898080825806 0.375 0.08662703872965619 0.08795920014381409
0.12244898080825806 0.4166666865348816 0.0858816448874962 0.0869566798210144
0.12244898080825806 0.4583333432674408 0.08549492117981021 0.08655878901481628
