N_LAYER mean_loss mean_loss_basis min_loss min_loss_basis mean_mse_ref mean_mse_ref_basis
5 8.1474e+00 9.8403e-02 8.1389e+00 1.2093e-02 7.9026e-02 8.5283e-02
10 7.0200e+00 9.4372e-02 7.0145e+00 5.0308e-03 8.2989e-02 4.3011e-02
25 1.0253e-03 1.8219e-02 7.4740e-04 1.5807e-04 5.3802e-06 3.4329e-02
50 1.4073e-04 3.6047e-02 8.0394e-05 5.8403e-05 1.5535e-06 4.9189e-02
75 8.0110e-05 7.5587e-02 3.4019e-05 3.0482e-04 9.5193e-07 3.9659e-02
100 4.3758e-05 6.7461e-02 1.7836e-05 2.5535e-04 5.1276e-07 2.3709e-02
