x y tower_chebyshev solution
0.0 -1.0 0.021540433168411255 1.2246467991473532e-16
0.0 -0.9595959782600403 0.1174578070640564 0.12658723368853955
0.0 -0.9191918969154358 0.2316453456878662 0.2511317523714658
0.0 -0.8787878751754761 0.3517265021800995 0.3716344417110018
0.0 -0.8383838534355164 0.4702368825674057 0.4861615679189546
0.0 -0.7979797720909119 0.5821422934532166 0.5928751304314658
0.0 -0.7575757503509521 0.6838950216770172 0.6900618381144363
0.0 -0.7171717286109924 0.7729693353176117 0.7761329498871582
0.0 -0.6767677068710327 0.8475971817970276 0.849682145910734
0.0 -0.6363636255264282 0.9065984338521957 0.9095680469428488
0.0 -0.5959596037864685 0.9492658972740173 0.9548298388636582
0.0 -0.5555555820465088 0.9752828180789948 0.9847413377323733
0.0 -0.5151515007019043 0.984660804271698 0.9988222471524364
0.0 -0.4747474789619446 0.9776890873908997 0.9968458797242535
0.0 -0.4343434274196625 0.9548957645893097 0.9787708337969475
0.0 -0.39393940567970276 0.9170173406600952 0.9449440062905202
0.0 -0.35353535413742065 0.8649637997150421 0.8959273802958595
0.0 -0.31313130259513855 0.7998046576976776 0.8325080521600086
0.0 -0.27272728085517883 0.7227366268634796 0.7557039403220271
0.0 -0.23232322931289673 0.6350719928741455 0.6667472840229625
0.0 -0.19191919267177582 0.5382188260555267 0.5670548644945522
0.0 -0.1515151560306549 0.4336625635623932 0.4582060520705053
0.0 -0.1111111119389534 0.3229558765888214 0.3419972475316715
0.0 -0.07070706784725189 0.20770004391670227 0.22029383844191913
0.0 -0.03030303120613098 0.08953085541725159 0.09504921228142721
0.0 0.010101011022925377 -0.029889702796936035 -0.031726566557888525
0.0 0.05050504952669144 -0.14889270067214966 -0.1579987855197627
0.0 0.09090909361839294 -0.26581135392189026 -0.2817253354219987
0.0 0.13131313025951385 -0.37899479269981384 -0.40090796457795974
0.0 0.17171716690063477 -0.4868218004703522 -0.5136400414739222
0.0 0.21212121844291687 -0.5877159237861633 -0.6181125217207808
0.0 0.2525252401828766 -0.6801549792289734 -0.7126485971042229
0.0 0.2929292917251587 -0.7626903355121613 -0.7957309193896139
0.0 0.3333333432674408 -0.8339598774909973 -0.8660254190543554
0.0 0.3737373650074005 -0.8927057385444641 -0.9223182031126325
0.0 0.4141414165496826 -0.9377937912940979 -0.96378031113615
0.0 0.4545454680919647 -0.9682317674160004 -0.9897469432857244
0.0 0.49494948983192444 -0.9831914007663727 -0.9998016634377129
0.0 0.5353535413742065 -0.9820383787155151 -0.9937830302585886
