x y fnn_basis solution
0.0 -1.0 -0.0002759695053100586 1.2246467991473532e-16
0.0 -0.9591836929321289 0.12886622548103333 0.12787055812161607
0.0 -0.918367326259613 0.2547118663787842 0.2536359393240523
0.0 -0.8775510191917419 0.3756141662597656 0.3752400878871712
0.0 -0.8367347121238708 0.49017637968063354 0.49069537325605045
0.0 -0.795918345451355 0.5970653295516968 0.5981069172081406
0.0 -0.7551020383834839 0.694803386926651 0.6956456192866471
0.0 -0.7142857313156128 0.7816499471664429 0.7817732726236117
0.0 -0.6734694242477417 0.8557096719741821 0.8550824543265917
0.0 -0.6326530575752258 0.9152548313140869 0.9143748012930666
0.0 -0.5918367505073547 0.9590853452682495 0.9586564210476844
0.0 -0.5510204434394836 0.9867499470710754 0.9871263138468324
0.0 -0.5102040767669678 0.9983721375465393 0.9994111535739556
0.0 -0.4693877696990967 0.9941419064998627 0.9953106404633221
0.0 -0.4285714328289032 0.973879337310791 0.9748916286082543
0.0 -0.3877551257610321 0.9372375309467316 0.9384521186113202
0.0 -0.3469387888908386 0.8847608268260956 0.8865469723805113
0.0 -0.30612245202064514 0.8184720277786255 0.8201102723634281
0.0 -0.26530614495277405 0.7401397824287415 0.7402284992530019
0.0 -0.22448980808258057 0.6494779884815216 0.6482071259923252
0.0 -0.18367348611354828 0.5469577014446259 0.5455226619422346
0.0 -0.142857164144516 0.43594884872436523 0.43385711667976246
0.0 -0.1020408347249031 0.3170930743217468 0.3150843813835926
0.0 -0.06122450903058052 0.19148343801498413 0.1911461606441453
0.0 -0.020408183336257935 0.06775406002998352 0.06406831935799723
0.0 0.020408183336257935 0.015377461910247803 -0.06406831935799723
0.0 0.06122450903058052 -0.1894245147705078 -0.1911461606441453
0.0 0.1020408347249031 -0.3202006220817566 -0.31508438138359257
0.0 0.142857164144516 -0.43416890501976013 -0.43385711667976246
0.0 0.18367348611354828 -0.5441782176494598 -0.5455226619422346
0.0 0.22448980808258057 -0.6492685079574585 -0.6482071259923252
0.0 0.26530614495277405 -0.7401776909828186 -0.7402284992530019
0.0 0.30612245202064514 -0.8189662098884583 -0.8201102723634281
0.0 0.3469387888908386 -0.8854160606861115 -0.8865469723805113
0.0 0.3877551257610321 -0.9375042021274567 -0.9384521186113202
0.0 0.4285714328289032 -0.9740619957447052 -0.9748916286082543
0.0 0.4693877696990967 -0.9947036504745483 -0.995310640463322
0.0 0.5102040767669678 -0.9992009997367859 -0.9994111535739556
0.0 0.5510204434394836 -0.9873101115226746 -0.9871263138468324
0.0 0.5918367505073547 -0.958951860666275 -0.9586564210476846
0.0 0.6326530575752258 -0.9144725799560547 -0.9143748012930666
0.0 0.6734694242477417 -0.8547423481941223 -0.8550824543265917
0.0 0.7142857313156128 -0.7811161875724792 -0.7817732726236115
0.0 0.7551020383834839 -0.695182204246521 -0.6956456192866471
0.0 0.795918345451355 -0.5984391570091248 -0.5981069172081406
0.0 0.8367347121238708 -0.49203169345855713 -0.4906953732560505
0.0 0.8775510191917419 -0.37668681144714355 -0.3752400878871712
0.0 0.918367326259613 -0.25326433777809143 -0.2536359393240524
0.0 0.9591836929321289 -0.12463602423667908 -0.1278705581216158
0.0 1.0 -4.0203332901000977e-05 -1.2246467991473532e-16
0.019387755542993546 -1.0 -0.0004903674125671387 1.036381081409311e-16
0.019387755542993546 -0.9591836929321289 0.1215786337852478 0.12052491776808888
0.019387755542993546 -0.918367326259613 0.24137842655181885 0.23938346605389418
0.019387755542993546 -0.8775510191917419 0.3573111295700073 0.3549314060563276
0.019387755542993546 -0.8367347121238708 0.4680040776729584 0.4655465464637709
0.019387755542993546 -0.795918345451355 0.5722238123416901 0.5696338834936511
0.019387755542993546 -0.7551020383834839 0.668625146150589 0.6655898215390414
0.019387755542993546 -0.7142857313156128 0.7556250989437103 0.7519792837625625
0.019387755542993546 -0.6734694242477417 0.831395298242569 0.8274007589575387
0.019387755542993546 -0.6326530575752258 0.8941410183906555 0.8905505315647294
0.019387755542993546 -0.5918367505073547 0.9424057006835938 0.9402222057614223
0.019387755542993546 -0.5510204434394836 0.9753719866275787 0.9753020962652925
0.019387755542993546 -0.5102040767669678 0.9928163290023804 0.9950060225337962
