Layer, TOWER_CHEBYSHEV_MEAN, TOWER_CHEBYSHEV_STD, FNN_BASIS_MEAN, FNN_BASIS_STD
3, 0.3559075891971588, 0.08373484015464783, 2.7030513592762873e-05, 2.1108699002070352e-05
5, 0.3203471302986145, 3.2571148267379613e-07, 6.306666666666666e-05, 7.205147851054518e-05
8, 0.3203469216823578, 5.073207489658671e-07, 7.37241207389161e-05,  8.078793325694278e-05
