x y z
-3.141592653589793116e+00 -3.141592653589793116e+00 -8.840041721493779869e-02
-2.810898690054025373e+00 -3.141592653589793116e+00 -8.246965173430059748e-02
-2.480204726518257630e+00 -3.141592653589793116e+00 -7.535185451373804799e-02
-2.149510762982489886e+00 -3.141592653589793116e+00 -6.781834932609981381e-02
-1.818816799446722365e+00 -3.141592653589793116e+00 -6.068550835284386435e-02
-1.488122835910954622e+00 -3.141592653589793116e+00 -5.472628559085374045e-02
-1.157428872375187101e+00 -3.141592653589793116e+00 -5.058645529325983548e-02
-8.267349088394193579e-01 -3.141592653589793116e+00 -4.871463230889183649e-02
-4.960409453036516148e-01 -3.141592653589793116e+00 -4.931365770243051339e-02
-1.653469817678838716e-01 -3.141592653589793116e+00 -5.231861777765334232e-02
1.653469817678838716e-01 -3.141592653589793116e+00 -5.740387848364825185e-02
4.960409453036516148e-01 -3.141592653589793116e+00 -6.401837291696693688e-02
8.267349088394189138e-01 -3.141592653589793116e+00 -7.144531797130765360e-02
1.157428872375186657e+00 -3.141592653589793116e+00 -7.887988890910779816e-02
1.488122835910954400e+00 -3.141592653589793116e+00 -8.551643460999713842e-02
1.818816799446722143e+00 -3.141592653589793116e+00 -9.063578237067365651e-02
2.149510762982489886e+00 -3.141592653589793116e+00 -9.368317142639925876e-02
2.480204726518257630e+00 -3.141592653589793116e+00 -9.432836988787407506e-02
2.810898690054025373e+00 -3.141592653589793116e+00 -9.250146049051161112e-02
3.141592653589793116e+00 -3.141592653589793116e+00 -8.840041721493824278e-02
-3.141592653589793116e+00 -2.810898690054025373e+00 -7.732296136045985202e-02
-2.810898690054025373e+00 -2.810898690054025373e+00 -7.167872029550292901e-02
-2.480204726518257630e+00 -2.810898690054025373e+00 -6.482061650669990183e-02
-2.149510762982489886e+00 -2.810898690054025373e+00 -5.749183195400542346e-02
-1.818816799446722365e+00 -2.810898690054025373e+00 -5.048655416151986985e-02
-1.488122835910954622e+00 -2.810898690054025373e+00 -4.456391367614004340e-02
-1.157428872375187101e+00 -2.810898690054025373e+00 -4.036572049369518966e-02
-8.267349088394193579e-01 -2.810898690054025373e+00 -3.834691398717826605e-02
-4.960409453036516148e-01 -2.810898690054025373e+00 -3.872626316658472900e-02
-1.653469817678838716e-01 -2.810898690054025373e+00 -4.146265966211309939e-02
1.653469817678838716e-01 -2.810898690054025373e+00 -4.625957245391271178e-02
4.960409453036516148e-01 -2.810898690054025373e+00 -5.259718160921339480e-02
8.267349088394189138e-01 -2.810898690054025373e+00 -5.978870883790415869e-02
1.157428872375186657e+00 -2.810898690054025373e+00 -6.705484057671529108e-02
1.488122835910954400e+00 -2.810898690054025373e+00 -7.360817870609448477e-02
1.818816799446722143e+00 -2.810898690054025373e+00 -7.873856735420464714e-02
2.149510762982489886e+00 -2.810898690054025373e+00 -8.189004930484228284e-02
2.480204726518257630e+00 -2.810898690054025373e+00 -8.272111258837588910e-02
2.810898690054025373e+00 -2.810898690054025373e+00 -8.114169860275549651e-02
3.141592653589793116e+00 -2.810898690054025373e+00 -7.732296136045990753e-02
-3.141592653589793116e+00 -2.480204726518257630e+00 -6.736806503209569197e-02
-2.810898690054025373e+00 -2.480204726518257630e+00 -6.255234784785701496e-02
-2.480204726518257630e+00 -2.480204726518257630e+00 -5.644518254143465752e-02
-2.149510762982489886e+00 -2.480204726518257630e+00 -4.970837523621790544e-02
-1.818816799446722365e+00 -2.480204726518257630e+00 -4.307196353605691197e-02
-1.488122835910954622e+00 -2.480204726518257630e+00 -3.725510562320494268e-02
-1.157428872375187101e+00 -2.480204726518257630e+00 -3.288814831036729336e-02
-8.267349088394193579e-01 -2.480204726518257630e+00 -3.044431918271750526e-02
-4.960409453036516148e-01 -2.480204726518257630e+00 -3.018844504615053603e-02
-1.653469817678838716e-01 -2.480204726518257630e+00 -3.214825383365876865e-02
1.653469817678838716e-01 -2.480204726518257630e+00 -3.611136985354967965e-02
4.960409453036516148e-01 -2.480204726518257630e+00 -4.164832799098749927e-02
8.267349088394189138e-01 -2.480204726518257630e+00 -4.815911291702384966e-02
1.157428872375186657e+00 -2.480204726518257630e+00 -5.493818005968464924e-02
1.488122835910954400e+00 -2.480204726518257630e+00 -6.125091230599860603e-02
1.818816799446722143e+00 -2.480204726518257630e+00 -6.641322716494379996e-02
2.149510762982489886e+00 -2.480204726518257630e+00 -6.986570771998495966e-02
2.480204726518257630e+00 -2.480204726518257630e+00 -7.123422413222990635e-02
2.810898690054025373e+00 -2.480204726518257630e+00 -7.037047641368904261e-02
3.141592653589793116e+00 -2.480204726518257630e+00 -6.736806503209635810e-02
-3.141592653589793116e+00 -2.149510762982489886e+00 -5.961449571315396989e-02
-2.810898690054025373e+00 -2.149510762982489886e+00 -5.607951845632097587e-02
-2.480204726518257630e+00 -2.149510762982489886e+00 -5.113316084633334757e-02
-2.149510762982489886e+00 -2.149510762982489886e+00 -4.531143748087679279e-02
-1.818816799446722365e+00 -2.149510762982489886e+00 -3.924522241994932159e-02
-1.488122835910954622e+00 -2.149510762982489886e+00 -3.359188419242453705e-02
-1.157428872375187101e+00 -2.149510762982489886e+00 -2.896404971583177446e-02
-8.267349088394193579e-01 -2.149510762982489886e+00 -2.586321666396634855e-02
-4.960409453036516148e-01 -2.149510762982489886e+00 -2.462540841237687017e-02
-1.653469817678838716e-01 -2.149510762982489886e+00 -2.538476069169687266e-02
1.653469817678838716e-01 -2.149510762982489886e+00 -2.805898589989919145e-02
4.960409453036516148e-01 -2.149510762982489886e+00 -3.235829024079439620e-02
8.267349088394189138e-01 -2.149510762982489886e+00 -3.781677737846672605e-02
1.157428872375186657e+00 -2.149510762982489886e+00 -4.384293553439294611e-02
1.488122835910954400e+00 -2.149510762982489886e+00 -4.978373696690391315e-02
1.818816799446722143e+00 -2.149510762982489886e+00 -5.499540365975302825e-02
2.149510762982489886e+00 -2.149510762982489886e+00 -5.891317065942913711e-02
2.480204726518257630e+00 -2.149510762982489886e+00 -6.111248712110056713e-02
2.810898690054025373e+00 -2.149510762982489886e+00 -6.135502298023004508e-02
3.141592653589793116e+00 -2.149510762982489886e+00 -5.961449571315446949e-02
-3.141592653589793116e+00 -1.818816799446722365e+00 -5.490247294836708702e-02
-2.810898690054025373e+00 -1.818816799446722365e+00 -5.296166362176646381e-02
-2.480204726518257630e+00 -1.818816799446722365e+00 -4.946019139656526731e-02
-2.149510762982489886e+00 -1.818816799446722365e+00 -4.477749511930106951e-02
-1.818816799446722365e+00 -1.818816799446722365e+00 -3.942101759113542103e-02
-1.488122835910954622e+00 -1.818816799446722365e+00 -3.397121626655885684e-02
-1.157428872375187101e+00 -1.818816799446722365e+00 -2.901866168146749470e-02
-8.267349088394193579e-01 -1.818816799446722365e+00 -2.510003997195914272e-02
-4.960409453036516148e-01 -1.818816799446722365e+00 -2.263999460394050534e-02
-1.653469817678838716e-01 -1.818816799446722365e+00 -2.190510966457021036e-02
1.653469817678838716e-01 -1.818816799446722365e+00 -2.297502133994744344e-02
4.960409453036516148e-01 -1.818816799446722365e+00 -2.573378809865295436e-02
8.267349088394189138e-01 -1.818816799446722365e+00 -2.988245475570455723e-02
1.157428872375186657e+00 -1.818816799446722365e+00 -3.497144890561376673e-02
1.488122835910954400e+00 -1.818816799446722365e+00 -4.044929906836236544e-02
1.818816799446722143e+00 -1.818816799446722365e+00 -4.572239518120641000e-02
2.149510762982489886e+00 -1.818816799446722365e+00 -5.021931545980928835e-02
2.480204726518257630e+00 -1.818816799446722365e+00 -5.345274881507350306e-02
2.810898690054025373e+00 -1.818816799446722365e+00 -5.507230257106837668e-02
3.141592653589793116e+00 -1.818816799446722365e+00 -5.490247294836625436e-02
