x y z
-3.141592653589793116e+00 -3.141592653589793116e+00 3.628217621363780121e-01
-2.810898690054025373e+00 -3.141592653589793116e+00 1.238594768538564539e-02
-2.480204726518257630e+00 -3.141592653589793116e+00 -3.253531667883813872e-01
-2.149510762982489886e+00 -3.141592653589793116e+00 -6.137963076693696562e-01
-1.818816799446722365e+00 -3.141592653589793116e+00 -8.216861849866465839e-01
-1.488122835910954622e+00 -3.141592653589793116e+00 -9.264947047890882414e-01
-1.157428872375187101e+00 -3.141592653589793116e+00 -9.168642376843496589e-01
-8.267349088394193579e-01 -3.141592653589793116e+00 -7.938383942153199868e-01
-4.960409453036516148e-01 -3.141592653589793116e+00 -5.707489334645170498e-01
-1.653469817678838716e-01 -3.141592653589793116e+00 -2.717710600939425847e-01
1.653469817678838716e-01 -3.141592653589793116e+00 7.069633419702531230e-02
4.960409453036516148e-01 -3.141592653589793116e+00 4.195415933078183723e-01
8.267349088394189138e-01 -3.141592653589793116e+00 7.369619205218727043e-01
1.157428872375186657e+00 -3.141592653589793116e+00 9.885598981017071907e-01
1.488122835910954400e+00 -3.141592653589793116e+00 1.147070981231681941e+00
1.818816799446722143e+00 -3.141592653589793116e+00 1.195318034501797300e+00
2.149510762982489886e+00 -3.141592653589793116e+00 1.128072741060066830e+00
2.480204726518257630e+00 -3.141592653589793116e+00 9.526221718691365581e-01
2.810898690054025373e+00 -3.141592653589793116e+00 6.879791184969272777e-01
3.141592653589793116e+00 -3.141592653589793116e+00 3.628217621363782897e-01
-3.141592653589793116e+00 -2.810898690054025373e+00 3.221054416361654460e-01
-2.810898690054025373e+00 -2.810898690054025373e+00 -1.831170227446593524e-02
-2.480204726518257630e+00 -2.810898690054025373e+00 -3.494871852394194622e-01
-2.149510762982489886e+00 -2.810898690054025373e+00 -6.355330049623513222e-01
-1.818816799446722365e+00 -2.810898690054025373e+00 -8.454516584180902239e-01
-1.488122835910954622e+00 -2.810898690054025373e+00 -9.564952022811840093e-01
-1.157428872375187101e+00 -2.810898690054025373e+00 -9.566303455559692637e-01
-8.267349088394193579e-01 -2.810898690054025373e+00 -8.458424433716499324e-01
-4.960409453036516148e-01 -2.810898690054025373e+00 -6.361370839813162981e-01
-1.653469817678838716e-01 -2.810898690054025373e+00 -3.502390969888298788e-01
1.653469817678838716e-01 -2.810898690054025373e+00 -1.912996544916722996e-02
4.960409453036516148e-01 -2.810898690054025373e+00 3.213094985478184284e-01
8.267349088394189138e-01 -2.810898690054025373e+00 6.341873966155012754e-01
1.157428872375186657e+00 -2.810898690054025373e+00 8.855985536974471106e-01
1.488122835910954400e+00 -2.810898690054025373e+00 1.048298669877791189e+00
1.818816799446722143e+00 -2.810898690054025373e+00 1.104656663015977758e+00
2.149510762982489886e+00 -2.810898690054025373e+00 1.048565270071109445e+00
2.480204726518257630e+00 -2.810898690054025373e+00 8.861028638164105686e-01
2.810898690054025373e+00 -2.810898690054025373e+00 6.348747668335474881e-01
3.141592653589793116e+00 -2.810898690054025373e+00 3.221054416361670558e-01
-3.141592653589793116e+00 -2.480204726518257630e+00 3.295304176435637777e-01
-2.810898690054025373e+00 -2.480204726518257630e+00 1.808360694527916257e-02
-2.480204726518257630e+00 -2.480204726518257630e+00 -2.941122528124412994e-01
-2.149510762982489886e+00 -2.480204726518257630e+00 -5.732258960069674947e-01
-1.818816799446722365e+00 -2.480204726518257630e+00 -7.890110285037630344e-01
-1.488122835910954622e+00 -2.480204726518257630e+00 -9.180839829454998657e-01
-1.157428872375187101e+00 -2.480204726518257630e+00 -9.464577019451678730e-01
-8.267349088394193579e-01 -2.480204726518257630e+00 -8.710574527855370341e-01
-4.960409453036516148e-01 -2.480204726518257630e+00 -7.000540224184721438e-01
-1.653469817678838716e-01 -2.480204726518257630e+00 -4.519782859158538724e-01
1.653469817678838716e-01 -2.480204726518257630e+00 -1.537130986193884219e-01
4.960409453036516148e-01 -2.480204726518257630e+00 1.624198783661125467e-01
8.267349088394189138e-01 -2.480204726518257630e+00 4.621627316757273007e-01
1.157428872375186657e+00 -2.480204726518257630e+00 7.130336721637797748e-01
1.488122835910954400e+00 -2.480204726518257630e+00 8.878469407646715217e-01
1.818816799446722143e+00 -2.480204726518257630e+00 9.676588073181591199e-01
2.149510762982489886e+00 -2.480204726518257630e+00 9.438204176744603435e-01
2.480204726518257630e+00 -2.480204726518257630e+00 8.189150312421995537e-01
2.810898690054025373e+00 -2.480204726518257630e+00 6.064780847480679693e-01
3.141592653589793116e+00 -2.480204726518257630e+00 3.295304176435662757e-01
-3.141592653589793116e+00 -2.149510762982489886e+00 3.842920787978011954e-01
-2.810898690054025373e+00 -2.149510762982489886e+00 1.176278788592562963e-01
-2.480204726518257630e+00 -2.149510762982489886e+00 -1.652291026665204665e-01
-2.149510762982489886e+00 -2.149510762982489886e+00 -4.336269228529288644e-01
-1.818816799446722365e+00 -2.149510762982489886e+00 -6.584805132615001444e-01
