x u_state_1layers u_state_4layers u_state_8layers
0.0 0.9158413846677388 -0.1665708459972603 -0.5261705407000856
0.06346652 0.8978380761684646 -0.1995434607375577 -0.5337633837470432
0.12693304 0.8643673673943184 -0.23553344681090393 -0.5338191648092713
0.19039956 0.8168981894368479 -0.27424313527837424 -0.527363924393557
0.25386608 0.7574764146122587 -0.3153611107095397 -0.5156118970708524
0.3173326 0.6886123057368484 -0.3585631718292349 -0.4998967314792063
0.3807991 0.6131457876928907 -0.4035115989777743 -0.4816031109914931
0.44426563 0.534089541419001 -0.4498513167900657 -0.4620974941214382
0.50773215 0.4544607873484186 -0.49720408512951914 -0.4426624057929831
0.5711987 0.377110411543212 -0.5451606203616088 -0.42443629353545154
0.6346652 0.3045638752810414 -0.5932745248210252 -0.4083645353209215
0.6981317 0.23887633194822794 -0.6410565497464347 -0.3951593784659253
0.7615982 0.1815155041781506 -0.68796964357006 -0.38527148964634667
0.8250648 0.13327914415832426 -0.7334295238104731 -0.37887600648946956
0.88853127 0.09424974307888845 -0.7768081963356255 -0.3758700492570379
0.95199776 0.06379150866804623 -0.8174414362433737 -0.375882000782498
1.0154643 0.04059071945156001 -0.8546437894887808 -0.3782939987049262
1.0789309 0.022734606010137104 -0.8877237227108459 -0.3822709559738431
1.1423974 0.00782794684531557 -0.916007635746267 -0.3868001663193918
1.2058638 -0.006860895147569712 -0.9388650057636095 -0.3907359989793915
1.2693304 -0.024233164107450078 -0.9557345127169674 -0.3928472516850111
1.3327969 -0.047180257847782014 -0.9661526023495605 -0.39186745374196896
1.3962634 -0.07840257179010457 -0.9697818242356053 -0.38654541058931186
1.4597299 -0.1202376669261005 -0.9664327797607402 -0.3756916827453103
1.5231965 -0.17450640066001044 -0.9560849463759424 -0.3582235010657599
1.586663 -0.24238622429437384 -0.9389005344382172 -0.33320412232316154
1.6501296 -0.32432080408330455 -0.9152324651024432 -0.2998772864671988
1.713596 -0.41996760264663996 -0.8856207927224304 -0.25769427072851775
1.7770625 -0.5281904146272861 -0.8507832493428618 -0.20633486135109502
1.8405291 -0.6470939622680887 -0.8115981789861413 -0.1457228378163104
1.9039955 -0.7741012094117793 -0.7690766183144352 -0.07603340235753869
1.9674621 -0.9060674797933008 -0.7243281879549471 0.002305346774356065
2.0309286 -1.0394237526950443 -0.6785210947055538 0.08861628140117528
2.0943952 -1.1703448666513103 -0.6328394461851985 0.18198248965663366
2.1578617 -1.2949325082539178 -0.588436809735043 0.2812641638247572
2.2213283 -1.4093944610840963 -0.5463901038613546 0.38511639896913596
2.2847948 -1.5102249674268922 -0.5076575025824823 0.49201481370120376
2.348261 -1.5943649194231257 -0.47304006512295177 0.6002845606421692
2.4117277 -1.6593391783931979 -0.4431501173048242 0.7081341462058852
2.4751942 -1.703358266576195 -0.4183887609119444 0.8136896679697649
2.5386608 -1.7253864800897478 -0.3989320385888865 0.9150361032656997
2.6021273 -1.7251745307525275 -0.38472953362353096 1.0102621104257834
2.6655939 -1.7032442126463865 -0.3755113815332541 1.097503521514244
2.7290604 -1.6608389788472584 -0.37080671925424863 1.1749903263723684
