x u_shots_1layers u_shots_4layers u_shots_8layers u_noise_shots_1layers u_noise_shots_4layers u_noise_shots_8layers u_real_1layers u_real_4layers u_real_8layers
0.0 0.9088 -0.14880000000000002 -0.5411999999999999 0.8503999999999999 -0.16560000000000002 -0.3672000000000001 0.5429999999999998 -0.3264 0.011600000000000006
0.44879895 0.5382 -0.41840000000000005 -0.47060000000000013 0.49280000000000007 -0.38359999999999994 -0.3398 0.3575999999999999 -0.2576 -0.1494
0.8975979 0.08699999999999994 -0.8038000000000001 -0.38 0.08380000000000001 -0.695 -0.3036 0.04960000000000002 -0.6298 -0.1406
1.3463969 -0.061000000000000054 -0.981 -0.38280000000000003 -0.05519999999999997 -0.8246 -0.3148000000000001 -0.09960000000000001 -0.9441999999999999 -0.03240000000000001
1.7951958 -0.5708000000000001 -0.84 -0.19880000000000006 -0.48579999999999995 -0.7442 -0.1536 -0.23000000000000004 -0.5408000000000001 -0.011800000000000019
2.2439947 -1.4442000000000002 -0.5346 0.39580000000000004 -1.3408 -0.4606 0.3348 -1.2966 -0.5456 0.07399999999999998
2.6927938 -1.7269999999999999 -0.3728 1.0825999999999998 -1.5648 -0.30700000000000005 0.8924 -1.4504 -0.331 0.4802
3.1415927 -1.048 -0.38180000000000003 1.3384 -0.9863999999999999 -0.3296 1.0328 -0.9688 -0.409 0.5242
3.5903916 -0.375 -0.39880000000000004 0.8672000000000001 -0.34040000000000004 -0.30619999999999997 0.6798000000000001 -0.289 0.1486 -0.20839999999999997
4.039191 -0.07200000000000001 -0.27380000000000004 0.22559999999999997 -0.0648 -0.20219999999999996 0.1652 -0.07140000000000002 -0.2524 0.0612
4.4879894 0.009199999999999986 -0.14439999999999997 0.10820000000000002 0.004799999999999999 -0.15300000000000002 0.07900000000000001 0.014200000000000018 -0.36760000000000004 0.117
4.9367886 -0.04499999999999993 -0.19799999999999995 0.30000000000000004 -0.03760000000000005 -0.13879999999999998 0.2622 -0.011999999999999927 -0.21219999999999997 0.472
5.3855877 0.07419999999999993 -0.07540000000000001 0.18720000000000003 0.09899999999999999 -0.06 0.15880000000000002 -0.2348 -0.09639999999999999 0.11580000000000001
5.8343863 0.5964 -0.004800000000000013 -0.2024 0.6035999999999999 0.007600000000000023 -0.2262 -0.10339999999999999 0.047799999999999995 0.1874
6.2831855 0.9176000000000001 -0.1914 -0.5111999999999999 0.8748 -0.17859999999999998 -0.42480000000000007 0.9988 -0.2688 -0.31120000000000003
