x y type
0.040816325694322586 0.0416666679084301 0
0.040816325694322586 0.0833333358168602 0
0.040816325694322586 0.125 0
0.040816325694322586 0.1666666716337204 0
0.040816325694322586 0.2083333432674408 0
0.040816325694322586 0.25 0
0.040816325694322586 0.2916666865348816 0
0.040816325694322586 0.3333333432674408 0
0.040816325694322586 0.375 0
0.040816325694322586 0.4166666865348816 0
0.040816325694322586 0.4583333432674408 0
0.040816325694322586 0.5 0
0.040816325694322586 0.5416666269302368 0
0.040816325694322586 0.5833333134651184 0
0.040816325694322586 0.625 0
0.040816325694322586 0.6666666269302368 0
0.040816325694322586 0.7083333134651184 0
0.040816325694322586 0.75 0
0.040816325694322586 0.7916666865348816 0
0.040816325694322586 0.8333333134651184 0
0.040816325694322586 0.875 0
0.040816325694322586 0.9166666865348816 0
0.040816325694322586 0.9583333134651184 0
0.08163265138864517 0.0416666679084301 0
0.08163265138864517 0.0833333358168602 0
0.08163265138864517 0.125 0
0.08163265138864517 0.1666666716337204 0
0.08163265138864517 0.2083333432674408 0
0.08163265138864517 0.25 0
0.08163265138864517 0.2916666865348816 0
0.08163265138864517 0.3333333432674408 0
0.08163265138864517 0.375 0
0.08163265138864517 0.4166666865348816 0
0.08163265138864517 0.4583333432674408 0
0.08163265138864517 0.5 0
0.08163265138864517 0.5416666269302368 0
0.08163265138864517 0.5833333134651184 0
0.08163265138864517 0.625 0
0.08163265138864517 0.6666666269302368 0
0.08163265138864517 0.7083333134651184 0
0.08163265138864517 0.75 0
0.08163265138864517 0.7916666865348816 0
0.08163265138864517 0.8333333134651184 0
0.08163265138864517 0.875 0
0.08163265138864517 0.9166666865348816 0
0.08163265138864517 0.9583333134651184 0
0.12244898080825806 0.0416666679084301 0
0.12244898080825806 0.0833333358168602 0
0.12244898080825806 0.125 0
0.12244898080825806 0.1666666716337204 0
0.12244898080825806 0.2083333432674408 0
0.12244898080825806 0.25 0
0.12244898080825806 0.2916666865348816 0
0.12244898080825806 0.3333333432674408 0
0.12244898080825806 0.375 0
0.12244898080825806 0.4166666865348816 0
0.12244898080825806 0.4583333432674408 0
0.12244898080825806 0.5 0
