x u_state
0.0 -0.1665708459972603
0.06346652 -0.1995434607375577
0.12693304 -0.23553344681090393
0.19039956 -0.27424313527837424
0.25386608 -0.3153611107095397
0.3173326 -0.3585631718292349
0.3807991 -0.4035115989777743
0.44426563 -0.4498513167900657
0.50773215 -0.49720408512951914
0.5711987 -0.5451606203616088
0.6346652 -0.5932745248210252
0.6981317 -0.6410565497464347
0.7615982 -0.68796964357006
0.8250648 -0.7334295238104731
0.88853127 -0.7768081963356255
0.95199776 -0.8174414362433737
1.0154643 -0.8546437894887808
1.0789309 -0.8877237227108459
1.1423974 -0.916007635746267
1.2058638 -0.9388650057636095
1.2693304 -0.9557345127169674
1.3327969 -0.9661526023495605
1.3962634 -0.9697818242356053
1.4597299 -0.9664327797607402
1.5231965 -0.9560849463759424
1.586663 -0.9389005344382172
1.6501296 -0.9152324651024432
1.713596 -0.8856207927224304
1.7770625 -0.8507832493428618
1.8405291 -0.8115981789861413
1.9039955 -0.7690766183144352
1.9674621 -0.7243281879549471
2.0309286 -0.6785210947055538
2.0943952 -0.6328394461851985
2.1578617 -0.588436809735043
2.2213283 -0.5463901038613546
2.2847948 -0.5076575025824823
2.348261 -0.47304006512295177
2.4117277 -0.4431501173048242
2.4751942 -0.4183887609119444
2.5386608 -0.3989320385888865
2.6021273 -0.38472953362353096
2.6655939 -0.3755113815332541
2.7290604 -0.37080671925424863
2.7925267 -0.3699723084075126
2.8559933 -0.3722275749347362
2.9194598 -0.3766963449477512
2.9829264 -0.3824534717228703
3.046393 -0.3885706491150222
3.1098595 -0.39416363370655766
3.173326 -0.39843440705445793
3.2367926 -0.40070834658747767
3.300259 -0.4004637393156997
3.3637257 -0.3973522016339801
3.4271922 -0.3912098746656378
3.4906588 -0.38205663634604975
3.554125 -0.3700879004222611
3.6175916 -0.35565445301780263
3.6810582 -0.33923580011144233
3.7445247 -0.3214074763378725
3.8079913 -0.3028025000881983
3.8714578 -0.2840727656855629
3.9349244 -0.26584880909183634
3.9983907 -0.24870396675151712
4.061857 -0.23312183092399025
4.125324 -0.21947034877711075
4.1887903 -0.2079841666373481
4.252257 -0.19875462390243098
4.3157234 -0.19172959538370832
4.37919 -0.18672126605776623
4.4426565 -0.18342190473276437
4.506123 -0.18142784145011398
4.5695896 -0.18026652241836144
4.633056 -0.17942893031415552
4.6965227 -0.17840316994351274
4.759989 -0.17670691888706574
4.8234553 -0.17391816500415408
4.886922 -0.16970209116135793
4.9503884 -0.16383162344735508
5.013855 -0.15620194603315224
5.0773215 -0.14683804963688785
5.140788 -0.13589426852463243
5.2042546 -0.12364694081664379
5.267721 -0.1104809163168784
5.3311877 -0.09687035367901359
5.3946543 -0.08335541418509568
5.458121 -0.07051660960954909
5.5215874 -0.05894800660727362
5.585054 -0.04923115681473117
5.6485205 -0.04191103797622703
5.711987 -0.037475163733589556
5.7754536 -0.03633734389029686
5.8389196 -0.03882577661947462
5.902386 -0.04517693938255901
5.9658527 -0.05553389940220349
6.0293193 -0.0699495842002153
6.092786 -0.08839385618707585
6.1562524 -0.1107635724194787
6.219719 -0.13689383992233078
6.2831855 -0.1665709324173083
