idx x y z
0 -0.6437104344367981 0.7652684450149536 0.00047770142555236816
1 -0.6495387554168701 0.7596868872642517 0.031278252601623535
2 -0.654883086681366 0.7531890273094177 0.061931461095809937
3 -0.6597442030906677 0.7457885146141052 0.09240454435348511
4 -0.6641157865524292 0.7374982833862305 0.12266230583190918
5 -0.6680001020431519 0.7283316254615784 0.15267419815063477
6 -0.671394944190979 0.7183020114898682 0.18240293860435486
7 -0.6743015050888062 0.7074286937713623 0.21181577444076538
8 -0.6767187714576721 0.6957215070724487 0.2408849596977234
9 -0.6786512136459351 0.6832007765769958 0.26957619190216064
10 -0.6801021695137024 0.6698874831199646 0.2978585362434387
11 -0.6810703277587891 0.655791163444519 0.32570111751556396
12 -0.6815668344497681 0.6409420371055603 0.35307711362838745
13 -0.6815946102142334 0.6253535747528076 0.37995997071266174
14 -0.6811557412147522 0.6090443134307861 0.40631526708602905
15 -0.6802617907524109 0.5920414924621582 0.43212220072746277
16 -0.6789208054542542 0.5743629932403564 0.45735660195350647
17 -0.6771373748779297 0.5560317039489746 0.48198920488357544
18 -0.6749257445335388 0.5370737314224243 0.505999743938446
19 -0.6722855567932129 0.5175042152404785 0.5293573141098022
20 -0.6692366600036621 0.49735456705093384 0.5520498752593994
21 -0.6657865643501282 0.4766446053981781 0.5740541219711304
22 -0.661945104598999 0.4554014503955841 0.5953474044799805
23 -0.6577242612838745 0.43364855647087097 0.6159111261367798
24 -0.6531388759613037 0.4114125370979309 0.6357306838035583
25 -0.6481992602348328 0.38871610164642334 0.6547857522964478
26 -0.6429157853126526 0.3655834496021271 0.6730595231056213
27 -0.6373071074485779 0.34204408526420593 0.6905426979064941
28 -0.6313850283622742 0.3181227445602417 0.7072160840034485
29 -0.6251618266105652 0.2938443124294281 0.7230687141418457
30 -0.6186550259590149 0.26923584938049316 0.7380905747413635
31 -0.611878514289856 0.24432435631752014 0.7522695660591125
32 -0.6048471927642822 0.2191356122493744 0.7655979990959167
33 -0.5975754261016846 0.19369369745254517 0.7780666351318359
34 -0.5900814533233643 0.16802756488323212 0.7896677851676941
35 -0.5823767185211182 0.1421622782945633 0.8003932237625122
36 -0.5744819045066833 0.11612293124198914 0.8102426528930664
37 -0.5664060115814209 0.08993640542030334 0.8192031383514404
38 -0.5581740736961365 0.06363113224506378 0.8272817134857178
39 -0.5497975945472717 0.03722810745239258 0.8344728350639343
40 -0.5412886738777161 0.01075691543519497 0.8407683372497559
41 -0.5326701998710632 -0.01575900986790657 0.8461769223213196
42 -0.5239565968513489 -0.04229532554745674 0.8506958484649658
43 -0.5151607394218445 -0.06882292777299881 0.8543237447738647
44 -0.506304919719696 -0.09532307088375092 0.8570715188980103
45 -0.4974004328250885 -0.12176647782325745 0.8589368462562561
46 -0.48846435546875 -0.1481308490037918 0.8599233031272888
47 -0.4795103669166565 -0.174392431974411 0.8600357174873352
48 -0.47055667638778687 -0.20052635669708252 0.8592818975448608
49 -0.4616199731826782 -0.2265123575925827 0.8576732873916626
50 -0.4527137577533722 -0.25232428312301636 0.8552130460739136
51 -0.44385388493537903 -0.277942419052124 0.8519083857536316
52 -0.4350529611110687 -0.30334243178367615 0.8477700352668762
53 -0.42632853984832764 -0.3285030722618103 0.8428086638450623
54 -0.41769635677337646 -0.35340628027915955 0.8370421528816223
55 -0.4091673195362091 -0.3780282139778137 0.8304721713066101
56 -0.4007560610771179 -0.40234845876693726 0.8231132626533508
57 -0.39247769117355347 -0.4263472855091095 0.8149824142456055
58 -0.3843436539173126 -0.4500063359737396 0.8060894012451172
59 -0.3763677775859833 -0.4733041524887085 0.7964476943016052
60 -0.3685651123523712 -0.49622711539268494 0.7860826253890991
61 -0.36094269156455994 -0.5187502503395081 0.774994969367981
62 -0.3535187542438507 -0.5408637523651123 0.7632136344909668
63 -0.3463006317615509 -0.562545120716095 0.7507478594779968
64 -0.3393009901046753 -0.5837799310684204 0.7376177906990051
65 -0.3325306177139282 -0.6045506000518799 0.7238404154777527
66 -0.3259992003440857 -0.6248431205749512 0.7094331979751587
67 -0.3197169899940491 -0.644641637802124 0.6944167613983154
68 -0.3136969208717346 -0.6639373898506165 0.6788129210472107
69 -0.3079420328140259 -0.682704746723175 0.6626326441764832
70 -0.30246785283088684 -0.7009429931640625 0.6459078192710876
71 -0.29727834463119507 -0.7186331152915955 0.6286472678184509
72 -0.2923811674118042 -0.7357591390609741 0.6108773350715637
73 -0.28778696060180664 -0.7523179650306702 0.5926209092140198
74 -0.28349894285202026 -0.7682938575744629 0.5738949775695801
75 -0.27952635288238525 -0.7836771607398987 0.5547242164611816
76 -0.27587562799453735 -0.7984568476676941 0.5351309776306152
77 -0.27255159616470337 -0.812625527381897 0.5151354074478149
78 -0.2695584297180176 -0.8261703848838806 0.4947587251663208
79 -0.26690173149108887 -0.8390871286392212 0.474026083946228
80 -0.2645857036113739 -0.8513658046722412 0.45295923948287964
81 -0.26261454820632935 -0.8630031943321228 0.43158265948295593
82 -0.26099082827568054 -0.8739873170852661 0.40991660952568054
83 -0.25971847772598267 -0.8843164443969727 0.3879871666431427
84 -0.258797824382782 -0.8939825296401978 0.3658139705657959
85 -0.2582333981990814 -0.902980625629425 0.3434235453605652
86 -0.25802499055862427 -0.9113097786903381 0.3208370804786682
87 -0.25817522406578064 -0.9189662337303162 0.2980799078941345
88 -0.25868239998817444 -0.9259421825408936 0.2751734256744385
89 -0.2595473825931549 -0.9322367906570435 0.2521415054798126
90 -0.26077067852020264 -0.9378495216369629 0.22900843620300293
91 -0.2623494863510132 -0.9427767395973206 0.20579540729522705
92 -0.2642843723297119 -0.9470182657241821 0.18252646923065186
93 -0.26657238602638245 -0.950576663017273 0.1592268943786621
94 -0.2692103683948517 -0.9534419178962708 0.13591501116752625
95 -0.27219873666763306 -0.9556280374526978 0.1126171350479126
96 -0.27553290128707886 -0.9571323990821838 0.08935493230819702
97 -0.27920985221862793 -0.9579523205757141 0.06615069508552551
98 -0.28322142362594604 -0.9580884575843811 0.04302501678466797
99 -0.28757014870643616 -0.9575545787811279 0.020003676414489746
100 -0.29224467277526855 -0.9563395380973816 -0.002893388271331787
101 -0.29724451899528503 -0.9544563889503479 -0.025646954774856567
102 -0.30256325006484985 -0.9519118666648865 -0.04823201894760132
103 -0.308193176984787 -0.9487013220787048 -0.07063072919845581
104 -0.3141286373138428 -0.9448373913764954 -0.09282046556472778
105 -0.32036256790161133 -0.9403191208839417 -0.11478185653686523
106 -0.32688677310943604 -0.9351547360420227 -0.13649260997772217
107 -0.333696573972702 -0.9293566346168518 -0.157936692237854
108 -0.3407832980155945 -0.9229295253753662 -0.17909330129623413
109 -0.3481367230415344 -0.9158729910850525 -0.19994351267814636
110 -0.355750173330307 -0.9082050919532776 -0.2204667031764984
111 -0.3636162281036377 -0.8999330997467041 -0.24065056443214417
112 -0.3717191517353058 -0.8910552263259888 -0.26046890020370483
113 -0.38005760312080383 -0.8815919160842896 -0.2799111306667328
114 -0.38861849904060364 -0.8715505599975586 -0.2989599108695984
115 -0.39738941192626953 -0.8609371185302734 -0.31759536266326904
116 -0.40636590123176575 -0.8497693538665771 -0.33580586314201355
117 -0.4155302345752716 -0.8380477428436279 -0.3535722494125366
118 -0.42487576603889465 -0.8257888555526733 -0.37088292837142944
119 -0.4343918561935425 -0.8130061626434326 -0.387721985578537
120 -0.4440634846687317 -0.799705445766449 -0.40407413244247437
121 -0.4538847804069519 -0.7859070897102356 -0.419931024312973
122 -0.46383965015411377 -0.7716162204742432 -0.43527379631996155
123 -0.4739166498184204 -0.7568468451499939 -0.45009514689445496
124 -0.4841068983078003 -0.7416152954101562 -0.46438300609588623
125 -0.4943922162055969 -0.7259302735328674 -0.4781217575073242
126 -0.5047682523727417 -0.709810197353363 -0.49130910634994507
127 -0.5152154564857483 -0.6932629942893982 -0.5039268136024475
128 -0.5257235765457153 -0.6763071417808533 -0.5159699320793152
129 -0.5362828969955444 -0.6589559316635132 -0.5274315476417542
130 -0.5468732118606567 -0.6412203907966614 -0.538299560546875
