N_QUBITS, TOWER_CHEBYSHEV_MEAN, TOWER_CHEBYSHEV_STD, FNN_BASIS_MEAN, FNN_BASIS_STD
2,5.16072416305542, 1.839929723246314e-06, 0.0077442205511033535, 0.014106008224189281
4,0.3203468918800354, 3.698370960592001e-07, 9.71791596384719e-05, 9.71791596384719e-05
6,1.888510087155737e-05, 2.3359512852039188e-05,8.828455975162797e-06,8.828455975162797e-06
8,9.668245184002444e-06,1.2263295502634719e-05, 8.891845027392264e-06, 8.891845027392264e-06
