idx loss_pinn_1 loss_pinn_2 loss_pinn_3 loss_pinn_mean
0 11.325200080871582 13.191072463989258 7.583393096923828 10.699888547261557
1 1.658528447151184 1.7243690490722656 1.215155005455017 1.5326841672261555
2 0.659904956817627 0.8014024496078491 0.7263717651367188 0.7292263905207316
3 0.4842112362384796 0.5727415680885315 0.6190366148948669 0.558663139740626
4 0.43667227029800415 0.5145303606987 0.5000670552253723 0.48375656207402545
5 0.39176228642463684 0.47155821323394775 0.45066019892692566 0.4379935661951701
6 0.3701983690261841 0.44856584072113037 0.4348766505718231 0.41788028677304584
7 0.36008021235466003 0.4429056644439697 0.3930666744709015 0.39868418375651044
8 0.35028553009033203 0.4352617561817169 0.34471750259399414 0.37675492962201435
9 0.3305111229419708 0.42875605821609497 0.30002447962760925 0.35309722026189166
10 0.31698691844940186 0.42658859491348267 0.2903217673301697 0.34463242689768475
11 0.30822354555130005 0.4184315800666809 0.2769601345062256 0.33453842004140216
12 0.3020488917827606 0.4142909646034241 0.272497296333313 0.3296123842398326
13 0.2956000566482544 0.3981635570526123 0.2676313817501068 0.32046499848365784
14 0.2923354506492615 0.378915011882782 0.26290813088417053 0.31138619780540466
15 0.28811344504356384 0.367681622505188 0.26061129570007324 0.30546878774960834
16 0.28542545437812805 0.35468703508377075 0.2578989863395691 0.2993371586004893
17 0.28142714500427246 0.34418007731437683 0.2528672516345978 0.29282482465108234
18 0.27828460931777954 0.32806840538978577 0.24624380469322205 0.28419893980026245
19 0.27607253193855286 0.315044105052948 0.2406080663204193 0.2772415677706401
20 0.2715047597885132 0.30374014377593994 0.23447874188423157 0.2699078818162282
21 0.2670978307723999 0.29600808024406433 0.228454127907753 0.2638533463080724
22 0.263556569814682 0.2893628478050232 0.22520694136619568 0.2593754529953003
23 0.26109549403190613 0.27787116169929504 0.22003492712974548 0.25300052762031555
24 0.25917497277259827 0.2711947560310364 0.2151254266500473 0.24849838515122732
25 0.25615012645721436 0.2675982713699341 0.20482927560806274 0.24285922447840372
26 0.25363889336586 0.26587581634521484 0.19086186587810516 0.23679219186306
27 0.24993747472763062 0.26416531205177307 0.1762855499982834 0.23012944559256235
28 0.24698299169540405 0.26174959540367126 0.1679828017950058 0.22557179629802704
29 0.24438124895095825 0.2599450647830963 0.1561436802148819 0.22015666464964548
30 0.24140264093875885 0.2575331926345825 0.14917391538619995 0.21603658298651376
31 0.23222628235816956 0.2546956241130829 0.13578321039676666 0.2075683722893397
32 0.2267865687608719 0.25235456228256226 0.1245294064283371 0.20122351249059042
33 0.2214556485414505 0.24925300478935242 0.1192745566368103 0.1966610699892044
34 0.218324214220047 0.24696442484855652 0.10877770185470581 0.19135544697443643
35 0.21470896899700165 0.24406760931015015 0.1020541563630104 0.1869435782233874
36 0.2117576152086258 0.24238890409469604 0.09623024612665176 0.1834589218099912
37 0.2090694010257721 0.2399045079946518 0.08954548835754395 0.17950646579265594
38 0.2051853984594345 0.23904076218605042 0.08632935583591461 0.17685183882713318
39 0.19864118099212646 0.23824375867843628 0.08156393468379974 0.17281629145145416
40 0.18889135122299194 0.23741169273853302 0.07698936760425568 0.16776413718859354
41 0.16864967346191406 0.2351372390985489 0.07463507354259491 0.15947399536768594
42 0.15794572234153748 0.23380303382873535 0.07118045538663864 0.15430973718563715
43 0.14777347445487976 0.23254042863845825 0.06871672719717026 0.14967687676350275
44 0.14188814163208008 0.23166833817958832 0.06512527912855148 0.1462272529800733
45 0.13362103700637817 0.2304580956697464 0.0623745359480381 0.1421512228747209
46 0.12723733484745026 0.2261081039905548 0.060874707996845245 0.13807338227828345
47 0.12145716696977615 0.2232169359922409 0.059174440801143646 0.1346161812543869
48 0.11300792545080185 0.21948009729385376 0.057291481643915176 0.12992650146285692
49 0.10397826135158539 0.2106572985649109 0.05626486986875534 0.12363347659508388
50 0.09890709817409515 0.20372411608695984 0.0548914335668087 0.11917421594262123
51 0.09354150295257568 0.19248345494270325 0.05289146304130554 0.11297214031219482
52 0.08900845795869827 0.17578457295894623 0.05157177522778511 0.10545493538180988
53 0.08243697881698608 0.17160700261592865 0.05089261010289192 0.10164553051193555
54 0.07625357061624527 0.16431637108325958 0.049892351031303406 0.09682076424360275
55 0.07440328598022461 0.15944097936153412 0.04856481775641441 0.09413636103272438
56 0.07139860838651657 0.14534726738929749 0.04804704710841179 0.08826430762807529
57 0.06896016001701355 0.13598297536373138 0.047102365642786026 0.08401516700784366
58 0.06660887598991394 0.1307031363248825 0.045526791363954544 0.08094626789291699
59 0.06413009017705917 0.12619651854038239 0.044163066893815994 0.07816322520375252
60 0.0607304573059082 0.12220185250043869 0.042134761810302734 0.07502235720554988
