idx loss_pinn_1 loss_pinn_2 loss_pinn_3 loss_pinn_mean
0 41.84897232055664 36.14867401123047 44.71239471435547 40.90334701538086
1 30.224924087524414 25.27911376953125 29.798870086669922 28.434302647908527
2 26.345882415771484 13.973785400390625 18.60149574279785 19.640387852986652
3 18.40497589111328 8.057674407958984 10.668519020080566 12.377056439717611
4 10.33929443359375 4.278134822845459 8.085628509521484 7.5676859219868975
5 5.756463050842285 2.0440921783447266 6.060538291931152 4.620364507039388
6 3.7029571533203125 1.1835393905639648 4.5597686767578125 3.1487550735473633
7 2.884828567504883 0.7827849388122559 3.599280834197998 2.4222981135050454
8 2.201845407485962 0.6081482768058777 2.4608402252197266 1.7569446365038555
9 1.7709656953811646 0.5058270692825317 1.8854920864105225 1.3874282836914062
10 1.4636813402175903 0.42959877848625183 1.3748396635055542 1.0893732607364655
11 1.3455414772033691 0.3713153004646301 1.0922393798828125 0.9363653858502706
12 1.22001314163208 0.3195754587650299 0.9457818269729614 0.8284568091233572
13 1.1124659776687622 0.2775363624095917 0.8718986511230469 0.7539669970671335
14 1.0336527824401855 0.25527235865592957 0.8191778659820557 0.7027010023593903
15 0.9831193089485168 0.23774200677871704 0.755870521068573 0.6589106122652689
16 0.8942998051643372 0.22075298428535461 0.716087818145752 0.6103802025318146
17 0.85402911901474 0.1974932998418808 0.6972576379776001 0.5829266856114069
18 0.8362531661987305 0.1848601996898651 0.6714619994163513 0.5641917884349823
19 0.7828423380851746 0.17331932485103607 0.6536359190940857 0.5365991940100988
20 0.7550758123397827 0.15010526776313782 0.6432832479476929 0.5161547760168711
21 0.7343249917030334 0.14278782904148102 0.6193181276321411 0.4988103161255519
22 0.717994213104248 0.13306429982185364 0.5940698385238647 0.48170945048332214
23 0.6962204575538635 0.1268387883901596 0.581551730632782 0.46820365885893506
24 0.6827630400657654 0.12027084082365036 0.5623142123222351 0.45511603107055026
25 0.6578213572502136 0.10973162204027176 0.5387176275253296 0.43542353560527164
26 0.629690945148468 0.10245458781719208 0.5116755366325378 0.4146070231993993
27 0.6084345579147339 0.09589347243309021 0.4993171691894531 0.4012150665124257
28 0.5892454981803894 0.0903613269329071 0.4679885804653168 0.3825318018595378
29 0.5778002142906189 0.08491045236587524 0.44857150316238403 0.37042738993962604
30 0.5666986107826233 0.08041925728321075 0.4147981107234955 0.3539719929297765
31 0.5537192225456238 0.07715397328138351 0.3978155255317688 0.3428962404529254
32 0.5441736578941345 0.07370589673519135 0.35205310583114624 0.32331088682015735
33 0.5362597107887268 0.06932014971971512 0.3314638137817383 0.3123478914300601
34 0.5313219428062439 0.06713468581438065 0.30266258120536804 0.30037306994199753
35 0.5147832036018372 0.06421808153390884 0.2772473692893982 0.28541621814171475
36 0.5063000321388245 0.059872936457395554 0.25336945056915283 0.2731808063884576
37 0.484472393989563 0.05707594379782677 0.236649751663208 0.25939936315019924
38 0.45706021785736084 0.055996693670749664 0.22353266179561615 0.24552985777457556
39 0.4461613893508911 0.05458548665046692 0.20704935491085052 0.23593207697073618
40 0.43389692902565 0.05289407819509506 0.1869763433933258 0.22458911687135696
41 0.4195459187030792 0.051176201552152634 0.17941294610500336 0.21671168878674507
42 0.4080009460449219 0.04898727312684059 0.17143979668617249 0.20947600528597832
43 0.3980374038219452 0.04776060953736305 0.16513976454734802 0.20364592596888542
44 0.38978174328804016 0.045602161437273026 0.16076049208641052 0.19871479893724123
45 0.3728889226913452 0.04427830129861832 0.15222567319869995 0.18979763239622116
46 0.3637499213218689 0.04299231991171837 0.1464279145002365 0.18439005191127458
47 0.3508242070674896 0.04091258719563484 0.13896241784095764 0.17689973736802736
48 0.34021347761154175 0.039281077682971954 0.13090112805366516 0.17013189444939295
49 0.3329097032546997 0.037659816443920135 0.1278376281261444 0.16613571594158807
50 0.32844114303588867 0.03643329441547394 0.125264510512352 0.1633796493212382
51 0.31273454427719116 0.03491060435771942 0.11940502375364304 0.15568339079618454
52 0.29307177662849426 0.03357912600040436 0.11308865249156952 0.14657985170682272
