idx loss_qpinn_1 loss_qpinn_2 loss_qpinn_3 loss_qpinn_mean
0 2.603424824164985 1.436922819464299 4.261950909399744 2.767432851009676
1 0.601992656800617 0.6895566181632076 0.6994463780063871 0.6636652176567371
2 0.5081640245174656 0.4416998385507485 0.49717591132945727 0.4823465914658905
3 0.46471798838490447 0.39934963435492926 0.4431758981300964 0.43574784028997665
4 0.44016816609826814 0.3740525304702976 0.39690931472365604 0.4037100037640739
5 0.4121339066903046 0.3560265356162271 0.38132230074023216 0.38316091434892124
6 0.37910227433325194 0.33261353192040294 0.36438935145353135 0.3587017192357287
7 0.36664261720337044 0.3206976250910463 0.3499955271013417 0.34577858979858617
8 0.3608864884682133 0.3042096128724413 0.3373702069187427 0.3341554360864658
9 0.35384937646050435 0.3004884070745918 0.32701079476743233 0.3271161927675095
10 0.34643066584930177 0.29341083448360367 0.318637347911534 0.31949294941481315
11 0.3392474125839222 0.2870661988562933 0.3106612305193619 0.3123249473198591
12 0.32950535269993697 0.28321542597821536 0.2979248177942396 0.30354853215746397
13 0.32433464805614515 0.28028587596212134 0.2887204487286705 0.297780324248979
14 0.31802902250538695 0.27411784415817114 0.28206307849166645 0.2914033150517415
15 0.3094195932203533 0.2678273790548951 0.27436699005906606 0.28387132077810484
16 0.29939313483285224 0.26317207360693706 0.2665833285509471 0.2763828456635788
17 0.293586392051151 0.26112165948844723 0.26101247503749103 0.2719068421923631
18 0.28766497479282876 0.25723177427732236 0.25696313338735366 0.2672866274858349
19 0.2822129420553999 0.2534103587201999 0.25075732264569944 0.26212687447376637
20 0.27605907452576817 0.24955914502590001 0.24679806568697166 0.2574720950795466
21 0.27199833807323914 0.24677386891097425 0.24387674758540528 0.2542163181898729
22 0.2667835025638809 0.2445396785155706 0.24168184573160015 0.25100167560368386
23 0.26225245410176407 0.2423627872794603 0.23961404337872283 0.24807642825331574
24 0.2586660711912968 0.23939846410451712 0.23804313755031145 0.2453692242820418
25 0.2552611034672385 0.23683693806737569 0.23596175028368713 0.24268659727276712
26 0.2525460610544396 0.23339740997849262 0.23375705000881772 0.23990017368058333
27 0.2492284298979842 0.23069460714055418 0.2315233117349744 0.23714878292450425
28 0.2470705358365556 0.2286062194003277 0.22986904038160413 0.23518193187282913
29 0.2447738252448029 0.2261464913505811 0.2282914274941069 0.23307058136316364
30 0.24158460028741802 0.2227873973022941 0.2259527482850322 0.23010824862491477
31 0.24006272681491447 0.22053504743598779 0.22429962189579708 0.22829913204889976
32 0.23852773477560857 0.21785948934913865 0.22205762107172117 0.22614828173215615
33 0.23635934584245943 0.21450307963931467 0.22012347251281483 0.22366196599819632
34 0.23380493503530528 0.20834254796003043 0.21874180524644674 0.22029642941392746
35 0.23243343665533533 0.20097743892018635 0.21714675727341454 0.21685254428297873
36 0.23040799805166093 0.19506169563094708 0.21532272598266408 0.21359747322175737
37 0.22937461879086288 0.18671276358929892 0.2137471772172034 0.20994485319912173
38 0.22806913206062038 0.17636050721281124 0.21255999322156152 0.2056632108316644
39 0.22673753962020554 0.17023997691556703 0.21169567315551435 0.20289106323042896
40 0.22503245212579015 0.16425032134013606 0.21054274916933957 0.19994184087842193
41 0.22179147699156063 0.15846537422648668 0.20879370510326573 0.1963501854404377
42 0.21962904741265107 0.1509610941318585 0.20611804874550177 0.19223606343000377
43 0.21814471051678838 0.14743743542426124 0.20278713971851203 0.18945642855318723
44 0.217291135179496 0.14350528208070212 0.19818194110243373 0.18632611945421063
45 0.21616712840904717 0.14119752443654568 0.1916647340556473 0.18300979563374672
46 0.21387179066114753 0.1377866342514317 0.18596427124198042 0.17920756538485325
47 0.21137675647633622 0.1332051949863706 0.17839031799760538 0.17432408982010406
48 0.2075905324909107 0.13119677024992862 0.17005256011805883 0.1696132876196327
49 0.2038105694217618 0.1264917016838862 0.16242660867661857 0.1642429599274222
50 0.20049416021222213 0.12253552412701725 0.15368462331213045 0.1589047692171233
51 0.1942501256425357 0.12025690791398329 0.14332032210762943 0.15260911855471615
52 0.18730790873366007 0.11712883002137817 0.13662797707231183 0.14702157194245002
53 0.18123628218448978 0.11461118692724798 0.12805487944059396 0.14130078285077724
54 0.1769172175984678 0.11207331978477386 0.11868407007161935 0.135891535818287
55 0.1702512961253731 0.10945671800161356 0.11208444560812005 0.1305974865783689
56 0.16650098631640053 0.10646477885300981 0.10591479160214493 0.12629351892385177
57 0.16185509437898574 0.10470744584760683 0.09846731989680486 0.12167662004113246
58 0.1578363140324612 0.10259907624575045 0.09210225524958573 0.1175125485092658
59 0.150719530981429 0.10111413477853765 0.08519826556266757 0.11234397710754475
60 0.1449570173671169 0.09996211294477633 0.08006048458425712 0.10832653829871679
61 0.13811907841289608 0.09846843089193677 0.07516402283541426 0.10391717738008237
62 0.13226376524491734 0.0975178440615401 0.06958591683327033 0.09978917537990926
63 0.12872806258926126 0.09589192398822657 0.06603891709830813 0.09688630122526531
64 0.12350189482104854 0.09512079054996951 0.06340108747632403 0.09400792428244735
65 0.11853289725852739 0.09398260112009782 0.061462082671686506 0.09132586035010391
66 0.11375819452049987 0.09301753581713612 0.05843209384870407 0.08840260806211335
67 0.1109390034225825 0.0920829362796925 0.05624919872582139 0.08642371280936546
68 0.10729476073539386 0.09144401548154239 0.05443414073276347 0.08439097231656657
69 0.10358284922050574 0.09012410474712657 0.05304942498287967 0.08225212631683733
70 0.10095574703134232 0.08945348114173639 0.051237316929038636 0.08054884836737244
71 0.09872177257648967 0.0884601339334791 0.04997502552997824 0.07905231067998233
72 0.09696524413176308 0.0871917437558788 0.04857762543479389 0.07757820444081193
73 0.09543311913023782 0.08608592699233449 0.0468039004565349 0.0761076488597024
