x y u v u_mag p u_mag_ref p_ref u_mag_diff p_diff
0.0 0.0 0.0025917997118085623 0.0018628016114234924 0.0031917793676257133 -1.0281801223754883e-05 0.0 0.000142561 0.0031917793676257133 0.0001528428012237549
0.0 0.020408162847161293 0.003518394660204649 0.001987361116334796 0.00404087919741869 0.005289018154144287 0.0 0.0006012173171331585 0.00404087919741869 0.004687800837011129
0.0 0.040816325694322586 0.004210296086966991 0.0023400180507451296 0.004816874396055937 0.01085922122001648 0.0 0.0017228187216620145 0.004816874396055937 0.009136402498354465
0.0 0.06122449040412903 0.0046720621176064014 0.002860339591279626 0.005478111561387777 0.01661151647567749 0.0 0.0033998276098489762 0.005478111561387777 0.013211688865828514
0.0 0.08163265138864517 0.004908185452222824 0.0034906119108200073 0.006022844463586807 0.02243518829345703 0.0 0.0054877275645905735 0.006022844463586807 0.016947460728866458
0.0 0.10204081237316132 0.004922722931951284 0.004162347409874201 0.006446575280278921 0.02824053168296814 0.0 0.007817246478843689 0.006446575280278921 0.020423285204124453
0.0 0.12244898080825806 0.004726560786366463 0.004814844578504562 0.006747081410139799 0.033925026655197144 0.0 0.010191516468048096 0.006747081410139799 0.023733510187149046
0.0 0.1428571343421936 0.004333633463829756 0.005381484981626272 0.006909468676894903 0.03939002752304077 0.0 0.0124210133641243 0.006909468676894903 0.02696901415891647
0.0 0.16326530277729034 0.003761779051274061 0.0058017512783408165 0.006914571393281221 0.044536590576171875 0.0 0.014420450711154938 0.006914571393281221 0.030116139865016937
0.0 0.18367347121238708 0.0030342384707182646 0.006012620870023966 0.006734850816428661 0.04926323890686035 0.0 0.016119555231261254 0.006734850816428661 0.0331436836755991
0.0 0.20408162474632263 0.002186687896028161 0.005966330412775278 0.006354423705488443 0.05346819758415222 0.0 0.0174574976072073 0.006354423705488443 0.03601069997694492
0.0 0.22448979318141937 0.0012585005024448037 0.005615202244371176 0.005754504352807999 0.057053565979003906 0.0 0.018365987633264063 0.005754504352807999 0.03868757834573984
0.0 0.2448979616165161 0.0003024186007678509 0.0049385689198970795 0.004947819747030735 0.05991101264953613 0.0 0.018670693912029267 0.004947819747030735 0.041240318737506866
0.0 0.26530611515045166 -0.0006209610146470368 0.0039190747775137424 0.003967964090406895 0.061942487955093384 0.0 0.018436816472530364 0.003967964090406895 0.04350567148256302
0.0 0.2857142686843872 -0.0014402171364054084 0.00256708194501698 0.0029434903990477324 0.06303980946540833 0.0 0.01762022956113815 0.0029434903990477324 0.045419579904270174
0.0 0.30612245202064514 -0.002077776240184903 0.00092262402176857 0.0022734091617166996 0.06309404969215393 0.0 0.01617447316365242 0.0022734091617166996 0.04691957652850151
0.0 0.3265306055545807 -0.0024564836639910936 -0.0009478643187321723 0.0026330132968723774 0.061995089054107666 0.0 0.014050321397233011 0.0026330132968723774 0.04794476765687465
0.0 0.34693875908851624 -0.0025074102450162172 -0.002948411973193288 0.0038704315666109324 0.05962550640106201 0.0 0.011033261611390111 0.0038704315666109324 0.048592244789671904
0.0 0.36734694242477417 -0.002187928417697549 -0.004960468504577875 0.005421556998044252 0.055871009826660156 0.0 0.007097725389738081 0.005421556998044252 0.048773284436922075
0.0 0.3877550959587097 -0.0014924779534339905 -0.0068475049920380116 0.007008267566561699 0.05060449242591858 0.0 0.00224072872614384 0.007008267566561699 0.04836376369977474
0.0 0.40816324949264526 -0.00046974196447990835 -0.008473687805235386 0.008486698381602764 0.0436912477016449 0.0 -0.0036209313505029634 0.008486698381602764 0.04731217905214786
0.0 0.4285714328289032 0.0007679721456952393 -0.009706358425319195 0.009736692532896996 0.03499910235404968 0.0 -0.010578650290913585 0.009736692532896996 0.04557775264496327
0.0 0.44897958636283875 0.0020521075930446386 -0.010448272339999676 0.010647889226675034 0.024380087852478027 0.0 -0.018820981054539675 0.010647889226675034 0.043201068907017706
0.0 0.4693877398967743 0.003170552896335721 -0.010636917315423489 0.011099387891590595 0.011689960956573486 0.0 -0.028747827231740956 0.011099387891590595 0.04043778818831444
0.0 0.4897959232330322 0.003910121042281389 -0.010267527773976326 0.010986863635480404 -0.0032292306423187256 0.0 -0.04023264164657593 0.010986863635480404 0.037003411004257206
0.0 0.5102040767669678 0.0040947976522147655 -0.009373159147799015 0.010228562168776989 -0.020529627799987793 0.0 -0.05343704351348877 0.010228562168776989 0.032907415713500976
0.0 0.5306122303009033 0.003625632729381323 -0.008033924736082554 0.008814144879579544 -0.040370821952819824 0.0 -0.06853998780918119 0.008814144879579544 0.028169165856361367
0.0 0.5510204434394836 0.0024974728003144264 -0.006384218577295542 0.006855335086584091 -0.06288960576057434 0.0 -0.08573898583831782 0.006855335086584091 0.02284938007774348
0.0 0.5714285969734192 0.0008099024998955429 -0.004547878168523312 0.004619430284947157 -0.08822247385978699 0.0 -0.10588199664154056 0.004619430284947157 0.017659522781753575
0.0 0.5918367505073547 -0.0012616874882951379 -0.002694416092708707 0.0029751863330602646 -0.11647537350654602 0.0 -0.12900295718050006 0.0029751863330602646 0.01252758367395404
0.0 0.6122449040412903 -0.003467781702056527 -0.000953362206928432 0.003596444148570299 -0.14771893620491028 0.0 -0.15530008997535705 0.003596444148570299 0.007581153770446769
0.0 0.6326530575752258 -0.0055105495266616344 0.000618221762124449 0.005545119754970074 -0.18196776509284973 0.0 -0.18518293286895748 0.005545119754970074 0.0032151677761077524
0.0 0.6530612111091614 -0.007061018142849207 0.0020444863475859165 0.007351047359406948 -0.21916598081588745 0.0 -0.21912613762426372 0.007351047359406948 3.984319162372851e-05
0.0 0.6734694242477417 -0.0077946120873093605 0.003453810466453433 0.008525537326931953 -0.25914907455444336 0.0 -0.25823398829746236 0.008525537326931953 0.0009150862569810014
