idx loss_hist u_mag_loss p_loss
0 8.588336710657373 8.355981803140645 34.10091693636083
1 6.114517246551291 6.598902903230574 35.75563264594218
2 5.09607976817475 5.387273879274796 33.653291020478754
3 4.312894113067589 4.894499795753455 29.84418090351704
4 4.13384814812591 4.764489135255915 29.442457220114953
5 3.9833852404499908 4.623631093520705 29.376055433915717
6 3.855992338345928 4.274707613766747 28.19924766912456
7 3.815484587350511 4.233714668866271 28.0512873909117
8 3.7567115896683987 4.442684187336176 28.327936345272654
9 3.667275937857287 4.28864183896671 28.256721958541675
10 3.6002635312811186 4.170573528514013 27.93363582402156
11 3.5058086427864943 3.827147726753817 27.93180864396332
12 3.4456709718077185 3.8373734399638577 28.561367386653792
13 3.3650432049485666 3.7976007122933084 28.85875030880065
14 3.3184676664977815 3.8661708667691546 29.04686397300505
15 3.2756842562822044 3.6485113962439026 29.01946350196069
16 3.2204460402059 3.6845511209630706 28.223107859151362
17 3.1984882741717797 3.6664679083988423 28.34974139282462
18 3.161607459231746 3.3520279549857914 28.7880470357104
19 3.0879082522499175 3.4226265248699836 28.913264607179315
20 3.0505149053955307 3.3086638646416158 29.228900681879004
21 3.0026960729669696 3.2213579909246275 29.579756724192762
22 2.9492705395036047 3.2502312348411424 28.40147043444256
23 2.9229017344415666 3.113121924575612 28.466489153896564
24 2.870152694273102 3.0525934619020707 26.693721113801434
25 2.8301672023672246 2.9578226607361606 29.022173187057337
26 2.7583887517766925 2.981095170301797 27.473566321544006
27 2.67979172583091 2.868127712840239 25.61550988447745
28 2.656343474503988 2.812584603630515 25.43029735871164
29 2.627232408480779 2.7943776503269904 25.05002957709195
30 2.596720790915615 2.6899835252765825 24.262359859967447
31 2.5669293530201145 2.551194898636276 24.26260596822396
32 2.535481575841004 2.5653152914728774 23.875035880634933
33 2.4963362049357443 2.5246833269790407 23.658961825246482
34 2.4754570361951806 2.4584799214534057 23.750487536377733
35 2.443909649534362 2.4910440023317624 23.697825833609826
36 2.393615011095463 2.3460621055439224 23.28338235311521
37 2.3533166836135457 2.3222735709085307 23.593589864936714
38 2.3293516784965647 2.28181267393332 23.299748080168726
39 2.302664375157761 2.304434210098073 23.26770208237502
40 2.2754312949751387 2.2814995279178394 22.99146036152954
41 2.2557669198151054 2.128297038122448 22.77777824500355
42 2.2391759646780542 2.1653736609773304 22.705045366248264
43 2.216473295444544 2.1452451888385218 22.276863409001912
44 2.197862812028294 2.1371116009179025 22.75069134152081
45 2.180493599750264 2.1109817236439206 22.398225202209375
46 2.1619716419852217 2.1204065967693912 22.400383498731223
47 2.143239439930259 2.1177557717140085 21.835767624116624
48 2.1307784481522596 2.1211625003071846 22.200355094688952
49 2.1127679055902178 2.0774542771971016 21.53846878958053
50 2.0836091691307956 2.09951786504572 21.19560657833115
51 2.065667450937898 2.010229017231062 20.9916003919687
52 2.0485337308257385 2.0208962415254588 20.866455309811155
53 2.0346903715435616 2.028444400461364 20.605078805689327
54 2.005051088578071 1.9286978692995098 20.494622641068172
55 1.9814125870051527 1.9256239226267935 21.37568865054031
56 1.9483775604626885 1.8394340320914184 20.309270899460223
57 1.9306822383232998 1.7022169784380607 20.131425493596158
58 1.9123439916786538 1.697824287078577 19.730021308655267
59 1.8935577531194987 1.801253525666798 20.063178869316705
60 1.8732205546157417 1.779891872717015 19.39298187394253
61 1.8463325819611782 1.7219704593787142 19.09059315436999
62 1.8243573416135064 1.7203940465533794 19.1083822810906
63 1.800959411286474 1.654377622093409 18.662426602140986
64 1.779718558612192 1.673140262837909 18.53276866008042
65 1.757815391593013 1.6307410687070136 18.200606309558
66 1.7443336722302583 1.61827833068781 18.58053309396181
67 1.7306267633916868 1.6329000602827435 18.527200769641574
68 1.7103662250962977 1.5660890151370885 18.449851991980456
69 1.699893382063138 1.5660295501612178 18.142785898214175
70 1.6848002144425323 1.5419124913583342 17.79142373170276
71 1.674495127982599 1.5619798223533587 17.707807324641315
72 1.656907743472189 1.4868804650307677 17.214299784965455
73 1.6470821848819845 1.4451823244102764 17.00853874919603
74 1.6346619625424523 1.3947234770897394 16.720446040203516
75 1.6258153877948303 1.3814930776487162 16.607752471640353
76 1.6102578770444325 1.3719521629628617 16.367813618131798
77 1.601219863409142 1.3653779442069058 16.3413294352299
78 1.5931072139727611 1.3496152328800783 16.259492312306755
79 1.5849016205293402 1.3332146240839384 16.505017001272755
80 1.5744736659099203 1.3168961694186274 16.536528585885435
81 1.5636501294245058 1.2675200770653294 16.080803111008276
82 1.5561379954890526 1.2881301350940582 15.715936823291583
83 1.5465523070159328 1.3095103124016574 15.676837579607454
84 1.5381848893085959 1.3209874978846945 15.278950617231102
85 1.5283989377320815 1.304819645330348 15.393653560391016
86 1.5147065397641342 1.35736291407533 14.750733753379619
87 1.50478116884506 1.3368388876231305 14.805268735037226
88 1.4947389625597367 1.442627307707093 14.63084874020302
89 1.484904577749436 1.4169024156074252 14.521614376713394
90 1.4737305852481235 1.4002266749438081 14.25843087532717
91 1.4668406510157332 1.4067111195869464 14.126081784270209
