layer error_shots error_noise error_real
1 0.00018844969609689422 0.0030003515259283487 0.06724987531784743
4 0.00035391068998927706 0.005189137658116316 0.021552550557227584
8 0.0004603803229276971 0.018214479907399703 0.21844748547832535
