x u_state
0.0 0.9158413846677388
0.06346652 0.8978380761684646
0.12693304 0.8643673673943184
0.19039956 0.8168981894368479
0.25386608 0.7574764146122587
0.3173326 0.6886123057368484
0.3807991 0.6131457876928907
0.44426563 0.534089541419001
0.50773215 0.4544607873484186
0.5711987 0.377110411543212
0.6346652 0.3045638752810414
0.6981317 0.23887633194822794
0.7615982 0.1815155041781506
0.8250648 0.13327914415832426
0.88853127 0.09424974307888845
0.95199776 0.06379150866804623
1.0154643 0.04059071945156001
1.0789309 0.022734606010137104
1.1423974 0.00782794684531557
1.2058638 -0.006860895147569712
1.2693304 -0.024233164107450078
1.3327969 -0.047180257847782014
1.3962634 -0.07840257179010457
1.4597299 -0.1202376669261005
1.5231965 -0.17450640066001044
1.586663 -0.24238622429437384
1.6501296 -0.32432080408330455
1.713596 -0.41996760264663996
1.7770625 -0.5281904146272861
1.8405291 -0.6470939622680887
1.9039955 -0.7741012094117793
1.9674621 -0.9060674797933008
2.0309286 -1.0394237526950443
2.0943952 -1.1703448666513103
2.1578617 -1.2949325082539178
2.2213283 -1.4093944610840963
2.2847948 -1.5102249674268922
2.348261 -1.5943649194231257
2.4117277 -1.6593391783931979
2.4751942 -1.703358266576195
2.5386608 -1.7253864800897478
2.6021273 -1.7251745307525275
2.6655939 -1.7032442126463865
2.7290604 -1.6608389788472584
2.7925267 -1.599845194537967
2.8559933 -1.5226761564323352
2.9194598 -1.4321413655423672
2.9829264 -1.3313042996041378
3.046393 -1.2233285623444896
3.1098595 -1.1113370461691634
3.173326 -0.9982781731988353
3.2367926 -0.8868130987920226
3.300259 -0.7792272864069696
3.3637257 -0.6773698253604533
3.4271922 -0.5826238990663067
3.4906588 -0.49590366879245723
3.554125 -0.41768271634824344
3.6175916 -0.34804080469907545
3.6810582 -0.2867338075554284
3.7445247 -0.2332723160415111
3.8079913 -0.18700592718972997
3.8714578 -0.14720753539697656
3.9349244 -0.11314832840945532
3.9983907 -0.08416123422586896
4.061857 -0.059686250109403594
4.125324 -0.039296153152791835
4.1887903 -0.022702117703569225
4.252257 -0.00973838701325197
4.3157234 -0.00032958248860548434
4.37919 0.005555739929606174
4.4426565 0.007960902858622776
4.506123 0.0070004883755155345
4.5695896 0.0029171824249085154
4.633056 -0.0038697018882972722
4.6965227 -0.012728942627856676
4.759989 -0.022799868310457272
4.8234553 -0.03299574131601363
4.886922 -0.04202877533916333
4.9503884 -0.04845706377089437
5.013855 -0.050751409964090444
5.0773215 -0.047378155162906554
5.140788 -0.03689294347148553
5.2042546 -0.018039783594075987
5.267721 0.010151892902783177
5.3311877 0.048278525825765084
5.3946543 0.09648951868696032
5.458121 0.15443525046449003
5.5215874 0.2212420871195629
5.585054 0.29551565116596257
5.6485205 0.37537594181708867
5.711987 0.45852289021098125
5.7754536 0.542328947982938
5.8389196 0.6239560249343552
5.902386 0.7004917596190718
5.9658527 0.7690902525736846
6.0293193 0.8271212816915794
6.092786 0.8723098350946086
6.1562524 0.9028607738266938
6.219719 0.9175582935932314
6.2831855 0.9158413572846018
