x u_shots_1batch u_shots_2batch u_shots_3batch u_noise_shots_1batch u_noise_shots_2batch u_noise_shots_3batch u_real_1batch u_real_2batch u_real_3batch
0.0 0.9038 0.9112 0.9428 0.8533999999999999 0.8475999999999999 0.8662 -0.2116 0.6826 0.6536
0.21666157 0.7814 0.808 0.7618 0.7246 0.7476 0.76 -0.03119999999999999 0.5682 0.5569999999999999
0.43332314 0.5482 0.5616 0.5513999999999999 0.5186 0.509 0.5132000000000001 0.059 0.40419999999999995 0.5612000000000001
0.6499847 0.3036000000000001 0.2951999999999999 0.2892000000000001 0.2626 0.2818 0.25160000000000005 0.19940000000000002 0.23759999999999995 0.2575999999999999
0.8666463 0.11800000000000002 0.10600000000000004 0.10939999999999997 0.0912 0.08280000000000004 0.08760000000000004 -0.1652 -0.07420000000000002 0.12039999999999995
1.0833079 0.023800000000000016 0.013800000000000007 0.0262 0.017000000000000008 0.0116 0.004799999999999999 0.35619999999999996 -0.1096 -0.066
1.2999694 -0.036599999999999994 -0.027200000000000002 -0.028399999999999995 -0.042599999999999985 -0.045399999999999996 -0.031199999999999978 -0.12440000000000001 0.054000000000000006 -0.09360000000000002
1.516631 -0.17679999999999993 -0.1718 -0.13980000000000004 -0.14939999999999995 -0.17720000000000002 -0.17040000000000002 -0.44200000000000006 -0.2638 -0.17000000000000004
1.7332926 -0.46820000000000006 -0.4364 -0.4534000000000001 -0.42179999999999995 -0.42379999999999995 -0.39120000000000005 -0.5954 0.1692 -0.629
1.9499542 -0.8922 -0.8727999999999999 -0.8565999999999998 -0.7902000000000002 -0.7675999999999998 -0.7875999999999999 -0.11720000000000005 -1.3236000000000003 -0.7690000000000001
2.1666157 -1.3022 -1.3172 -1.2983999999999998 -1.1742 -1.1992 -1.2218 -1.0032 -1.0914000000000001 -1.1792
2.3832774 -1.6508 -1.6199999999999999 -1.6508 -1.5164 -1.5308 -1.516 -1.4048 -1.4566000000000001 -1.3188
2.5999389 -1.7262 -1.7126 -1.7282 -1.5686 -1.5872 -1.6104 0.38880000000000003 -1.5928 -1.3925999999999998
2.8166003 -1.5598 -1.5843999999999998 -1.5476 -1.4232 -1.428 -1.4600000000000002 -0.4784 -1.5741999999999998 -1.1603999999999999
3.033262 -1.2128 -1.2444 -1.2748 -1.1465999999999998 -1.1159999999999999 -1.1674 -1.0896000000000001 -1.0766 -1.0596
3.2499235 -0.8578000000000001 -0.8675999999999999 -0.8714000000000001 -0.8246 -0.7924 -0.7984 -0.44420000000000004 0.1476 -0.5710000000000001
3.4665852 -0.5264 -0.5372000000000001 -0.5386000000000001 -0.52 -0.518 -0.48639999999999994 -0.568 -0.9541999999999999 -0.426
3.6832466 -0.28900000000000003 -0.291 -0.3006 -0.2656 -0.26159999999999994 -0.27880000000000005 0.0638 -0.2244 -0.14959999999999998
3.899908 -0.12719999999999998 -0.1408 -0.15059999999999998 -0.1212 -0.13440000000000002 -0.11999999999999997 0.0001999999999999988 -0.4338 0.14839999999999995
4.1165695 -0.0514 -0.027999999999999997 -0.0456 -0.03359999999999999 -0.0524 -0.053800000000000014 -0.20720000000000002 -0.16519999999999999 -0.04980000000000001
4.3332314 -0.002599999999999998 0.001599999999999999 -0.0027999999999999987 0.0112 -0.014800000000000002 0.013600000000000001 -0.030000000000000002 -0.054 -0.056799999999999996
4.549893 0.0031999999999999806 0.001799999999999996 -0.00020000000000000573 -0.00020000000000000573 0.009999999999999981 0.007800000000000001 0.005599999999999994 -0.0030000000000000027 0.07280000000000002
4.7665544 -0.024399999999999977 -0.02560000000000001 -0.023799999999999932 -0.023999999999999966 -0.016199999999999992 -0.013799999999999979 -0.819 -0.03899999999999998 0.020799999999999985
4.9832163 -0.04959999999999995 -0.059199999999999975 -0.05519999999999997 -0.037400000000000044 -0.034799999999999914 -0.029600000000000015 0.5863999999999999 -0.02159999999999998 -0.0678
5.1998777 -0.007600000000000023 -0.008000000000000035 -0.0184 0.0027999999999999137 -0.0072000000000000675 -0.01119999999999996 0.3274 0.012799999999999978 -0.06480000000000008
5.416539 0.11559999999999998 0.11299999999999995 0.10920000000000002 0.1425999999999999 0.14699999999999996 0.16179999999999997 0.015199999999999991 0.06960000000000004 0.18039999999999995
5.6332006 0.32820000000000005 0.3886 0.3556 0.393 0.32699999999999996 0.352 0.1744 0.37660000000000005 -0.6334
5.849862 0.624 0.6416 0.6078 0.6018 0.6060000000000001 0.6354000000000001 0.674 0.668 -0.24800000000000003
6.066524 0.862 0.8543999999999999 0.8608 0.7738 0.8061999999999999 0.8536 0.7976000000000001 0.8942 0.7158
6.2831855 0.8992 0.9214 0.9396 0.8482000000000001 0.8554 0.8662000000000001 0.7841999999999999 0.9832000000000001 0.8944
