idx lbfgs_1 lbfgs_2 lbfgs_3 lbfgs_4 lbfgs_5 lbfgs_mean
0 0.20318771586873485 0.09803359122963776 0.159271722003075 0.6295351956298761 0.4438587563385649 0.30677739621397776
1 0.016251651937337002 0.009524659861443798 0.011446022121738958 0.02391722669031634 0.03388983629153239 0.019005879380473698
2 0.0066298474901882315 0.0027679992526574216 0.005576918119082938 0.01161322010966415 0.006734477910924728 0.0066644925765034935
3 0.0036745604440305037 0.0020763620547601534 0.002503074771531039 0.004758941421119526 0.0037807677416351096 0.003358741286615266
4 0.003018947010853521 0.0016433004363898816 0.0019228334801762517 0.0033775514375492975 0.002668215827018529 0.0025261696383974963
5 0.002667428425855513 0.0015462356257398544 0.0018275503675270633 0.003050692415206325 0.0023447171866793743 0.002287324804201626
6 0.002507176958420989 0.0014096881005493953 0.0017174112115955042 0.0023766249678217424 0.002216725743590573 0.0020455253963956406
7 0.0024038100000772114 0.001200797680562989 0.0015588522703731732 0.0021916789499683937 0.002191157722923517 0.0019092593247810568
8 0.0021787762886430785 0.0011201252984350501 0.0014191207879078705 0.002130684626974945 0.0021133540100147885 0.0017924122023951466
9 0.002102902020743084 0.0010002374532871114 0.0012891654669373474 0.001863790091135314 0.0019597649112586056 0.0016431719886722926
10 0.001997611075069615 0.0009228003551403173 0.001166597287444433 0.0017193041047412906 0.0018034721037122376 0.0015219569852215787
11 0.0017780316969222413 0.0008017017217968488 0.0011192689321842077 0.0015918490964970749 0.0016446840151248525 0.0013871070925050451
12 0.0016123507396844658 0.0007851689029063923 0.001097097372763248 0.001451900061284341 0.0015651728740351692 0.0013023379901347233
13 0.0014905814854566182 0.0007541438329256847 0.0010715817097452205 0.001311576941197733 0.0014683764348040603 0.0012192520808258635
14 0.0014275781148465623 0.0007391792619441417 0.0010172468224654595 0.001264323743886772 0.0013634819366306343 0.001162361975954714
15 0.0013702438758483398 0.0007193684801164428 0.0009521030833663679 0.0011483830664869652 0.0012338250100676002 0.0010847847031771431
16 0.0013467344460289397 0.0007105767942303352 0.0009244497412627494 0.0010761952908673398 0.0011526616559732097 0.0010421235856725149
17 0.0012835190824877277 0.0007095621466858521 0.0008789387132868437 0.0009874485181376627 0.0011199835522818042 0.0009958904025759781
18 0.0012593732592727845 0.0007060126297691294 0.0008502231226438521 0.0008786449520432818 0.0010757254778304816 0.000953995888311906
