idx adam_1 adam_2 adam_3 adam_4 adam_5 adam_mean
0 7.2833752961297265 25.38335273298805 20.049317963835048 16.8250622378941 25.231738929841626 18.95456943213771
1 5.685623108830996 17.36576683057735 14.024240831595964 11.491842107721823 20.32689480186826 13.77887353611888
2 4.50648168021818 11.176512482309022 9.588184659537479 8.398733474660993 16.56112806308846 10.046208071962827
3 3.5048599152375184 6.963719396860145 6.628685223346779 7.194908504682092 13.824048064208217 7.623244220866951
4 2.6809497276398906 4.650016159582567 4.971860336201741 6.810289979562341 11.921500101028997 6.206923260803107
5 2.0674502281745184 3.8584652250883122 4.374054974000174 6.267137582638989 10.614501480987624 5.4363218981779236
6 1.6223361946910486 3.971336428022151 4.480604541425923 5.353138127768373 9.668609289284408 5.019204916238381
7 1.299365580411039 4.362320310210736 4.872013037644755 4.303301090083885 8.907922900777626 4.748984583825608
8 1.1061939310857427 4.604584241140996 5.202277986815961 3.4220547274385846 8.230737400432536 4.513169657382764
9 1.0244237225395454 4.534722642315251 5.287725098653336 2.8794190280110943 7.594492150288422 4.26415652836153
10 0.9908741474344375 4.189437091082747 5.101860133372419 2.6438735198524643 6.993328924703898 3.983874763289193
11 0.9910461231556811 3.7067235824671423 4.718220818971443 2.537893354046261 6.438162690029083 3.6784093137339227
12 1.0277995268058293 3.2453294740985608 4.245774377457044 2.3757351714802035 5.941460989746059 3.3672199079175393
13 1.0651151868427793 2.9304298834686406 3.7821340445299274 2.079733126519641 5.506617449683943 3.072805938208986
14 1.0890235601931857 2.8205099659156105 3.3923840106704213 1.6983035464992646 5.124120142482943 2.8248682451522855
15 1.1145913145775548 2.894629549430095 3.1056571806453195 1.3483875982395273 4.776546102751387 2.6479623491287767
16 1.1312320933469941 3.066337409601895 2.9207153445356084 1.1351752176608971 4.446492018946861 2.5399904168184513
17 1.1280810680121631 3.225420833467827 2.814845394133959 1.086750783577322 4.121404484097579 2.47530051265777
18 1.1171275938563692 3.2862541590315058 2.754444205698727 1.137155541611165 3.795619483511614 2.4181201967418766
19 1.0978259755485376 3.214328530076736 2.706338234149234 1.177510710836386 3.4706431063759138 2.333329311397361
20 1.0603136410362626 3.0245828039773044 2.6463429783486365 1.1398996926953409 3.153845273038374 2.2049968778191835
21 1.011595207622938 2.763729048406896 2.56261412415514 1.039611870757245 2.8558751016948447 2.0466850705274124
22 0.959513385089901 2.489218175533172 2.4544137439820757 0.9461801925408403 2.587432354761773 1.8873515703815524
23 0.9012098690716909 2.251391525298523 2.3285836341738113 0.9196815499869953 2.3561607059570115 1.7514054568976065
24 0.8406979662863726 2.0813508600974227 2.1956269205211956 0.9645403581954619 2.1644395088125505 1.6493311227826009
25 0.7880445541955863 1.985747460133205 2.0662518108275054 1.0314527268168174 2.008883159275741 1.576075942249771
26 0.7444580380875357 1.9490428379390548 1.948705319200389 1.0609743325428016 1.8822271063564582 1.517081526825248
27 0.7087272035627515 1.9422812041959752 1.8471808407649577 1.0295359950194598 1.7771510215155535 1.4609752530117395
28 0.6846944642075179 1.9351261439985399 1.7615220640988454 0.9610342132051504 1.6896574823925954 1.4064068735805297
29 0.6716277651569799 1.9065209737058857 1.688191925607907 0.9010472748342776 1.6196275581422512 1.3574030994894604
30 0.6639958048840073 1.850248439385854 1.6221493897914436 0.8787636605940047 1.5685752019373802 1.316746499318538
31 0.6609924700621903 1.7743053462486211 1.5590137836849107 0.8864046819920381 1.5364410294759028 1.2834314622927327
32 0.6629314950512971 1.6955243848775128 1.4967790186234693 0.8910302745285695 1.5194644882051918 1.253145932257208
