idx lbfgs_1 lbfgs_2 lbfgs_3 lbfgs_4 lbfgs_5 lbfgs_mean
0 0.6641312524322445 0.6649746473770055 0.6718939223954861 0.6628439515907598 0.6638216055099014 0.6655330758610795
1 0.6616136621167745 0.6617262102222468 0.6636032929891856 0.6598944642714718 0.6625964568687107 0.6618868172936778
2 0.6403516573994349 0.6316355743898404 0.6590007902582468 0.6337712967037593 0.660387247854833 0.6450293133212229
3 0.5901217781648466 0.6004227104158822 0.6508203215919822 0.5977220664941744 0.6347781163097738 0.6147729985953319
4 0.5825427275789712 0.585487333590503 0.6175803141639397 0.5849276590952798 0.5780686663094439 0.5897213401476276
5 0.5689319047417407 0.5781407065864723 0.554039782497002 0.5450208662058481 0.5493424714745958 0.5590951463011319
6 0.5621801577254408 0.5705563111901121 0.48815350128067597 0.508504979538124 0.5268632710900305 0.5312516441648767
7 0.558351363212642 0.5620993012868939 0.41658769710918897 0.5054729009802207 0.5154269929801318 0.5115876511138154
8 0.5499957309311513 0.5500141576295585 0.37796092456583774 0.48795680223183324 0.5023971756301522 0.49366495819770667
9 0.5285511047794555 0.5026714868947157 0.3659936569308315 0.4521976890243726 0.4889792082872481 0.4676786291833247
10 0.48099104710704643 0.43420459354836094 0.3570917187915789 0.39304516250476224 0.4805613922162833 0.4291787828336064
11 0.44843176531063045 0.3985082159670234 0.3448605081837081 0.3601870401028615 0.47679368514787923 0.4057562429424205
12 0.39626132710609974 0.38209225941188746 0.3382367335131047 0.3435808233330056 0.47515236358713964 0.3870647013902474
13 0.3735294688181209 0.3638412961149689 0.3341429055300391 0.3417940691910087 0.47410262033699735 0.377482071998227
14 0.35725767339139886 0.3341644438104703 0.33205868354668844 0.3390676661792965 0.4728111423264161 0.367071921850854
15 0.34643954272071437 0.3166729633087651 0.3306330947062106 0.3379333797741213 0.47147835026667095 0.36063146615529645
16 0.3406620334632231 0.2908157448721271 0.32946430149333283 0.3360867450428036 0.46996669068354424 0.3533991031110062
17 0.33953192479947014 0.26873677539906693 0.3278588674676563 0.3339065182419996 0.4675490339171848 0.34751662396507554
18 0.33847915055790295 0.22109902949127194 0.32339616815684624 0.3316206200579103 0.4638278565787937 0.33568456496854504
19 0.3365353698074631 0.18516907710486757 0.3112433028152068 0.3262378663131845 0.4565146295957854 0.32314004912730143
20 0.3345287205119924 0.1324590511891082 0.2962438930042999 0.3026018489679334 0.4332902352675718 0.29982474978818113
21 0.3322111130232002 0.09452788495418112 0.2793468531869696 0.2724853303119981 0.40867738306897816 0.2774497129090655
22 0.32992276614410126 0.07537635299823282 0.2584722650977451 0.25106084363640346 0.3736744004396641 0.25770132566322934
23 0.32094945693345245 0.05289635994244027 0.2392623902239082 0.24369274922048112 0.31310629408356877 0.23398145008077015
24 0.3083163504226598 0.03365128357694384 0.21105267727531352 0.23799385079094307 0.23224765149947085 0.20465236271306622
25 0.2691041115352269 0.020196229020652472 0.1972931306440182 0.2077937906575963 0.16122498628901116 0.171122449629301
26 0.24164720028200493 0.012047987188792086 0.19221928301535285 0.10869371652499464 0.10746246007027001 0.1324141294162829
27 0.22560398508232057 0.004119098981081788 0.18854834698694767 0.021705404775829284 0.06615046199841294 0.10122545956491844
28 0.21200822932822336 0.0024464682857306716 0.18384514009533062 0.008902449651166235 0.03917620559326358 0.08927569859074289
29 0.20118480781848969 0.0017204034092029878 0.17616674600561869 0.00603292890999146 0.0233149906080909 0.08168397535027874
30 0.1920445602541257 0.0008654193894100886 0.16545715757508353 0.005021898312262952 0.011594665205800663 0.0749967401473366
31 0.17470355964392634 0.0005792663279983896 0.15144327546079706 0.0034415979602501505 0.004640852187863864 0.06696171031616717
32 0.1445068155042752 0.0002055776323807691 0.12289463312870913 0.0027233589278144953 0.0019920125592867094 0.05446447955049326
33 0.10594549314526214 0.00014718145520017977 0.11127683587106212 0.001902538400838839 0.0010287661594376592 0.04406016300636019
34 0.0579291110791115 0.000135899699985539 0.09632003197153548 0.0011895617327122888 0.000790021102257244 0.03127292511712041
35 0.02721536803457857 0.00011554002500324724 0.08924309369157236 0.0007585525451288802 0.0003434272998164091 0.023535196319219895
36 0.01771209899111745 0.00010890017186466745 0.07405323175483429 0.00035438800773008444 0.00025513889504881547 0.01849675156411906
37 0.009315705752252542 0.00010641979069990269 0.06697828157892818 0.00017343268154585497 0.00020018009470627166 0.01535480397962655
38 0.003272842335657709 9.762618530190752e-05 0.054930239382462324 0.00013890539224084848 0.00019532638561300562 0.011726987936255158
39 0.002274542506732394 9.131862631788206e-05 0.042488383204864415 8.321399455739468e-05 0.00015180523397880514 0.009017852713290178
40 0.0017198731009450436 9.034160803886689e-05 0.03476436531055351 6.382847047770025e-05 0.00013146654363981714 0.007353975006730988
41 0.0012692285533465583 8.893115711177878e-05 0.03133641791856246 6.216707069500575e-05 0.0001244369638441049 0.006576236332711982
42 0.0008954694858642428 7.803929382911568e-05 0.026579666047239114 5.6307801864080284e-05 0.00011348128334964116 0.005544592782429239
43 0.0006938532258876889 6.927361233504003e-05 0.01988582161641202 4.389332200748476e-05 9.809556271807403e-05 0.004158187467872062
44 0.0006354473115359694 6.44693735578662e-05 0.015514484140455838 3.70518398625543e-05 6.172281664916492e-05 0.0032626350964122786
45 0.0005878796044339647 5.736591928964568e-05 0.012509403604784607 3.451615939983474e-05 4.9303630982539e-05 0.0026476937837781184
46 0.00044552142961471467 4.711485725245739e-05 0.010303194622841157 3.392803404943535e-05 3.928675703503083e-05 0.0021738091401585593
47 0.00030459459877643945 4.324000286213348e-05 0.00843543981680344 2.8977494448881206e-05 2.7522885093401347e-05 0.001767954959596859
48 0.00022552884223726727 3.865726958282261e-05 0.0074426015768322695 2.205826148395117e-05 1.7541595422652813e-05 0.0015492775091117926
49 0.00016598268594445568 3.405401709886098e-05 0.006238508265426855 1.9943780377264154e-05 1.5920935349752485e-05 0.0012948819368394377
50 0.00011916981700152904 2.9827605838685156e-05 0.005790299817246747 1.797477150232261e-05 1.4689081581016225e-05 0.00119439221863406
51 0.00010654941437984657 2.6021253623098736e-05 0.004806592839393898 1.7435208731362776e-05 1.3826179341851233e-05 0.0009940849790940113
52 9.28566778107908e-05 1.957747547918089e-05 0.004210825477551765 1.5579114797844446e-05 1.2754011216153366e-05 0.000870318551371147
53 8.477260237380635e-05 1.7636080519335782e-05 0.0037023756907457583 1.4567569078492657e-05 1.2199606308342032e-05 0.0007663103098051471
54 8.0840762658085e-05 1.395507514991853e-05 0.002961134012592921 1.4350091350628242e-05 1.1868068919463805e-05 0.0006164296021342033
55 7.782117491031087e-05 1.212995340652281e-05 0.002346152411072429 1.3668192500238564e-05 1.170763985633175e-05 0.0004922958743491665
56 7.566925172703814e-05 1.1502210524665434e-05 0.0018781977311297837 1.2415549395936755e-05 1.1223215338234243e-05 0.0003978015916231316
57 6.805382637653622e-05 1.0724486662911456e-05 0.0016799764182792035 1.1825673342696812e-05 9.175306350644582e-06 0.00035595114220239853
58 5.109414949707693e-05 9.557738576301304e-06 0.0014314214631855938 1.1542762786096479e-05 8.074726299982e-06 0.0003023381680690101
59 4.685760466828385e-05 8.594067989614145e-06 0.0010503673562522486 1.09376458050286e-05 7.099798874885591e-06 0.00022477129471801211
60 4.59211315241345e-05 8.331234973686298e-06 0.0009249775687502511 1.030740090653261e-05 6.945372947072252e-06 0.00019929654182033535
61 4.148367482092015e-05 8.055204254748179e-06 0.0008074492186016769 8.47364206484838e-06 6.720260354638769e-06 0.00017443640001936646
62 3.817560170656396e-05 7.319507073240437e-06 0.0007425140171194287 6.572787924850928e-06 6.719436903870188e-06 0.00016026027014559083
63 3.4106092770118846e-05 6.949549760131243e-06 0.0006850331175963514 5.727524055258026e-06 6.719436903870188e-06 0.00014770714421714594
64 3.374844613584923e-05 6.948792528306329e-06 0.0006486631814596232 4.878325023709812e-06 6.719436903870188e-06 0.00014019163641027174
65 3.367254498619326e-05 6.947859527894762e-06 0.0005876998922138727 4.636429990764853e-06 6.719436903870188e-06 0.00012793523272451913
66 3.367173374820359e-05 6.947038363576797e-06 0.0005510871928603104 4.433898405061156e-06 6.719436903870188e-06 0.00012057186005620443
67 2.9907075617117236e-05 6.947038363576797e-06 0.0005046869508988785 4.424984768516508e-06 6.719436903870188e-06 0.00011053709731039183
68 2.7323033586707447e-05 6.947038363576797e-06 0.0004780099972605628 4.424984768516508e-06 6.719436903870188e-06 0.00010468489817664673
69 2.557327408237866e-05 6.947038363576797e-06 0.0004269670602427312 4.424984768516508e-06 6.719436903870188e-06 9.412635887221467e-05
70 2.1948548909902866e-05 6.947038363576797e-06 0.00036938387537542 4.424984768516508e-06 6.719436903870188e-06 8.188477686425727e-05
71 2.0974434037482062e-05 6.947038363576797e-06 0.00033028613228057815 4.424984768516508e-06 6.719436903870188e-06 7.387040527080474e-05
72 2.0441384210399525e-05 6.947038363576797e-06 0.00031655601467521803 4.424984768516508e-06 6.719436903870188e-06 7.101777178431621e-05
73 2.012378421927159e-05 6.947038363576797e-06 0.00030078126511056075 4.424984768516508e-06 6.719436903870188e-06 6.779930187315917e-05
74 1.98293845833675e-05 6.947038363576797e-06 0.00029255340769072415 4.424984768516508e-06 6.719436903870188e-06 6.609485046201103e-05
75 1.9318576769934605e-05 6.947038363576797e-06 0.00028511358073274475 4.424984768516508e-06 6.719436903870188e-06 6.450472350772857e-05
76 1.84673515202105e-05 6.947038363576797e-06 0.0002575267857212609 4.424984768516508e-06 6.719436903870188e-06 5.881711945548698e-05
77 1.679481854612411e-05 6.947038363576797e-06 0.00024668443330045075 4.424984768516508e-06 6.719436903870188e-06 5.631414237650767e-05
78 1.4336565162808577e-05 6.947038363576797e-06 0.0002404027438413936 4.424984768516508e-06 6.719436903870188e-06 5.456615380803314e-05
79 1.2579056227271328e-05 6.947038363576797e-06 0.00022810599276492272 4.424984768516508e-06 6.719436903870188e-06 5.175530180563151e-05
80 1.1572795468213515e-05 6.947038363576797e-06 0.00022384386779556752 4.424984768516508e-06 6.719436903870188e-06 5.070162465994891e-05
81 1.0786320077161659e-05 6.947038363576797e-06 0.00021870172114781347 4.424984768516508e-06 6.719436903870188e-06 4.951590025218773e-05
82 9.325927499106548e-06 6.947038363576797e-06 0.0002149469920167006 4.424984768516508e-06 6.719436903870188e-06 4.847287591035413e-05
83 8.355546608109236e-06 6.947038363576797e-06 0.00021187731780002535 4.424984768516508e-06 6.719436903870188e-06 4.766486488881962e-05
84 8.018776959795089e-06 6.947038363576797e-06 0.00020743505461731754 4.424984768516508e-06 6.719436903870188e-06 4.670905832261523e-05
85 7.666903697047325e-06 6.947038363576797e-06 0.0001858167417138045 4.424984768516508e-06 6.719436903870188e-06 4.231502108936306e-05
86 6.7730890832474385e-06 6.947038363576797e-06 0.00017566871758469674 4.424984768516508e-06 6.719436903870188e-06 4.010665334078153e-05
87 5.777944701645266e-06 6.947038363576797e-06 0.00017061482681473704 4.424984768516508e-06 6.719436903870188e-06 3.889684631046916e-05
88 5.426782434429959e-06 6.947038363576797e-06 0.00016755036574215784 4.424984768516508e-06 6.719436903870188e-06 3.8213721642510256e-05
89 5.248038070516593e-06 6.947038363576797e-06 0.00016623108396372026 4.424984768516508e-06 6.719436903870188e-06 3.791411641404007e-05
90 4.667800290510059e-06 6.947038363576797e-06 0.00016554604515699715 4.424984768516508e-06 6.719436903870188e-06 3.766106109669414e-05
91 3.9000058417426694e-06 6.947038363576797e-06 0.0001647905158748941 4.424984768516508e-06 6.719436903870188e-06 3.735639635052005e-05
92 3.3962005015473614e-06 6.947038363576797e-06 0.00016170373288813537 4.424984768516508e-06 6.719436903870188e-06 3.6638278685129245e-05
93 2.953076982991158e-06 6.947038363576797e-06 0.00015740925713312126 4.424984768516508e-06 6.719436903870188e-06 3.569075883041518e-05
94 2.878209307208508e-06 6.947038363576797e-06 0.0001541338067289916 4.424984768516508e-06 6.719436903870188e-06 3.502069521443272e-05
95 2.878209307208508e-06 6.947038363576797e-06 0.00015068236116253932 4.424984768516508e-06 6.719436903870188e-06 3.433040610114226e-05
96 2.878209307208508e-06 6.947038363576797e-06 0.0001459657810750274 4.424984768516508e-06 6.719436903870188e-06 3.338709008363988e-05
97 2.878209307208508e-06 6.947038363576797e-06 0.00014380466624258775 4.424984768516508e-06 6.719436903870188e-06 3.295486711715195e-05
98 2.878209307208508e-06 6.947038363576797e-06 0.00014208845861445827 4.424984768516508e-06 6.719436903870188e-06 3.2611625591526055e-05
99 2.878209307208508e-06 6.947038363576797e-06 0.0001375909342773035 4.424984768516508e-06 6.719436903870188e-06 3.17121207240951e-05
