idx loss l2_error
0 13.05429441508327 0.35388914048127834
1 1.4530263308549114 0.25783864476870283
2 1.0662182782698006 0.1996772668649259
3 0.8210304460387197 0.2241888915792465
4 0.7312930260544962 0.2585789743124842
5 0.6535886150308572 0.343960215026115
6 0.5956759919981431 0.3973833207398165
7 0.5520891419269824 0.532854949508201
8 0.43243482712185816 0.6217194488341348
9 0.4027719569229472 0.6702059999841826
10 0.36608348735266116 0.6743996068056808
11 0.34883717625396926 0.6969415857317212
12 0.34099371949759516 0.6733810062224034
13 0.328438677780642 0.7041216463786834
14 0.30847272140525483 0.6817188750175194
15 0.29920148242063876 0.6826746661855401
16 0.2896019525318869 0.7025639718634089
17 0.28331759433440573 0.6898619171721327
18 0.2773056910232664 0.6784812145260126
19 0.27144056472448974 0.683752273217496
20 0.25847952236660676 0.6888437801200122
21 0.25112752608863304 0.665806904519526
22 0.24714328381669914 0.6619944335938368
23 0.24025451195391484 0.6702310807477818
24 0.23479415357769318 0.6702803014314214
25 0.2291432251283894 0.6680066156332001
26 0.22615101615050923 0.6649661546669753
27 0.22177852345849805 0.6714709708454822
28 0.21754269505499207 0.6652488000967091
29 0.21070322057173482 0.6464120750369501
30 0.19549154872426985 0.6468554832982664
31 0.18346959240457628 0.6456956030815263
32 0.17354480017059282 0.6470397047781818
33 0.16485047348172027 0.6319571744244525
34 0.1588065389667595 0.6392077171596333
35 0.15253580349326182 0.6599592223118728
36 0.149179525047188 0.6569367995443872
37 0.14659703140334657 0.6550875671044063
38 0.1425657759607056 0.6560906888588529
39 0.13900551140527548 0.6547717845730091
40 0.137073848995506 0.659586170616294
41 0.13455395773427636 0.6559113921659219
42 0.13272859183103564 0.65373636210949
43 0.13141427825213547 0.6469486073436405
44 0.1266240941718047 0.6491303872136361
45 0.12316215820669282 0.6415036910609585
46 0.12145099019181055 0.6362753370702369
47 0.12001530041856562 0.6419187858898513
48 0.11773848666169207 0.6435502496214864
49 0.11576110938325254 0.6481454373845074
50 0.11378324579067473 0.649048752759063
51 0.11237323218937487 0.6483372602452117
52 0.11029904584428638 0.6428527168363861
53 0.10842263304704008 0.631910715972831
54 0.10695824895260382 0.6318383377023004
55 0.10481386727917577 0.6352903138300526
56 0.10350107727716581 0.6286260822155076
57 0.1019823108890768 0.6308454305796871
58 0.10114988483304442 0.6276907798336201
59 0.09976315530774138 0.6320939747161626
60 0.09800663611257364 0.6337727225537949
61 0.09569849998279413 0.6281746898855912
62 0.09496840597086223 0.6276193676343116
63 0.09389816821423844 0.6288317664532918
64 0.09253918496375375 0.6238793332543131
65 0.09050005320455565 0.6206772058092035
66 0.08931050196350383 0.6143237892247733
67 0.08794641763550387 0.615660661803801
68 0.08657674011296224 0.6096037721864572
69 0.0850144849641683 0.6181467881546551
70 0.08385539630001311 0.6188366425453773
71 0.08314189439127556 0.6108680276957472
72 0.08241562087734564 0.6100512638252875
73 0.08039729889766803 0.6049800624509748
74 0.07845510903066749 0.5905989523340005
75 0.07640455161357845 0.5809324321543893
76 0.07428598272647713 0.5847750423338153
77 0.07252523935611405 0.5823963270287983
78 0.06983752044398554 0.5870084733573446
79 0.06858623222938046 0.5851957218551794
80 0.06660879798256786 0.5880648918193414
81 0.06403747378798899 0.5795309670831114
82 0.06256335058589545 0.5719924819724672
83 0.06007054532985663 0.5661414464583175
84 0.05841222320146267 0.5695741977438177
85 0.05734172325639771 0.5643939970373737
86 0.05567288704831596 0.5496921183741865
87 0.05424497875192318 0.5448688771101705
88 0.0532700116100224 0.5376953161123548
89 0.05205070028046667 0.5374022357255526
90 0.050928993856242444 0.5281656005989956
91 0.04989253155522669 0.5223927566840288
92 0.04829375378069051 0.5244290659644518
93 0.04671977466981549 0.5281547617650589
94 0.045633900107940516 0.5346365645139047
95 0.044427624243028506 0.5337092583424512
96 0.043673167621245124 0.5261066221334363
97 0.043038504977736515 0.519656235878381
98 0.04214503375969002 0.5110786266273288
99 0.0411454593417029 0.5060445009323776
100 0.03984518180635452 0.5132985638607336
101 0.0388972069050238 0.5043393640440899
102 0.03827329823291973 0.494759078683768
103 0.03762235688811066 0.492391605677338
104 0.03717878314222338 0.49368739354941754
105 0.036929339220171505 0.4938331882236581
106 0.036656655502837726 0.4955292181177414
107 0.03614881487538925 0.4917084136987409
108 0.03577645934164483 0.486045395129381
109 0.03554769816910875 0.4867417541106614
110 0.035255618799687916 0.4865271614144624
111 0.034976837234367876 0.4897612593931842
112 0.03471039771079253 0.49288011924304564
113 0.03437858723844254 0.4911997958791286
114 0.034205361588878366 0.4878446819648664
115 0.033955224841227115 0.4851738189387296
116 0.033581127595033795 0.48203508026353575
117 0.033095574807421625 0.47112496822970984
118 0.032557946457857805 0.46291961804855003
119 0.03216047611223897 0.45698817124067564
120 0.03170670380202382 0.4541981658581541
121 0.031360377816641284 0.4495925181954287
122 0.030895477578285608 0.4471695306517564
123 0.030644983234633567 0.4369096240891282
124 0.03039852091030408 0.437838116526495
125 0.030207109769098735 0.4364364209907387
126 0.029898282337476885 0.4328012941740324
127 0.02937634765685741 0.431291228661696
128 0.02898521704765019 0.4295117146865634
129 0.028736109164071127 0.4280993023228315
130 0.02841107590351201 0.42053495508688465
131 0.028184471078356782 0.41792143533315196
132 0.027544489548017526 0.41152868260241104
133 0.026933010569984983 0.40503782272498806
134 0.026559926443863485 0.4011341134508172
135 0.026356900873781914 0.40213631603155686
136 0.02565616854263966 0.3878175171598222
137 0.025092176850033353 0.3751614792549763
138 0.024599263830856064 0.36705845631616724
139 0.02388280692020636 0.3569356915736325
140 0.023005716625240785 0.34789156054449577
141 0.022144353914577655 0.3347281792959739
142 0.021426965435432883 0.3319961243489273
143 0.0211009190811947 0.3336724814419964
144 0.02089403079694489 0.3365249371102094
145 0.020585712746145055 0.325842939730948
146 0.020266598383154335 0.3189883161352416
147 0.02001803852020976 0.3242564371004759
148 0.019732410263425502 0.3107964167698112
149 0.01949072033884994 0.3078562606218783
150 0.019109054854926814 0.3023795026232965
151 0.018808006377675577 0.2917564024302956
152 0.018601149293112223 0.2882304531171803
153 0.0182439274790185 0.2821406018367248
154 0.017872757942799668 0.2765422238138481
155 0.017618567780638434 0.27285274842282115
156 0.017405344441462977 0.2738957901646968
157 0.01718441958929324 0.27380715953063417
158 0.01703238210102021 0.2655795978880134
159 0.016783209100125433 0.26577955194536473
160 0.016567577699152874 0.2615601825129169
161 0.01644338692968964 0.2601128647236288
162 0.01626832331810935 0.2522185595154485
163 0.015879407212387835 0.253778798278064
164 0.015639342018130102 0.24908270487617112
165 0.015398797469860103 0.25064671307237074
166 0.015259329549935932 0.2472368601598857
167 0.014997364765351715 0.24519077857404664
168 0.014709877034907209 0.24050514860957856
169 0.014440379772917209 0.23146208992022105
170 0.01419726130023086 0.2286607106273704
171 0.014037375761773978 0.22727264831331367
172 0.013862019810642574 0.22323273129480994
173 0.013549021418975684 0.22117961546108272
174 0.013353414692227847 0.2214780570883104
